symptoms of depression,isPartial,date
24,False,2019-01-06
40,False,2019-01-13
42,False,2019-01-20
53,False,2019-01-27
48,False,2019-02-03
63,False,2019-02-10
83,False,2019-02-17
55,False,2019-02-24
46,False,2019-03-03
61,False,2019-03-10
31,False,2019-03-17
24,False,2019-03-24
55,False,2019-03-31
60,False,2019-04-07
50,False,2019-04-14
79,False,2019-04-21
74,False,2019-04-28
63,False,2019-05-05
52,False,2019-05-12
35,False,2019-05-19
47,False,2019-05-26
46,False,2019-06-02
40,False,2019-06-09
40,False,2019-06-16
75,False,2019-06-23
64,False,2019-06-30
100,False,2019-07-07
72,False,2019-07-14
39,False,2019-07-21
51,False,2019-07-28
62,False,2019-08-04
50,False,2019-08-11
49,False,2019-08-18
46,False,2019-08-25
56,False,2019-09-01
21,False,2019-09-08
37,False,2019-09-15
27,False,2019-09-22
47,False,2019-09-29
31,False,2019-10-06
36,False,2019-10-13
46,False,2019-10-20
77,False,2019-10-27
45,False,2019-11-03
80,False,2019-11-10
66,False,2019-11-17
74,False,2019-11-24
60,False,2019-12-01
51,False,2019-12-08
61,False,2019-12-15
21,False,2019-12-22
45,False,2019-12-29
53,False,2020-01-05
59,False,2020-01-12
28,False,2020-01-19
46,False,2020-01-26
32,False,2020-02-02
60,False,2020-02-09
27,False,2020-02-16
45,False,2020-02-23
85,False,2020-03-01
84,False,2020-03-08
61,False,2020-03-15
53,False,2020-03-22
94,False,2020-03-29
85,False,2020-04-05
80,False,2020-04-12
54,False,2020-04-19
68,False,2020-04-26
51,False,2020-05-03
82,False,2020-05-10
47,False,2020-05-17
44,False,2020-05-24
52,False,2020-05-31
61,False,2020-06-07
45,False,2020-06-14
65,False,2020-06-21
65,False,2020-06-28
47,False,2020-07-05
48,False,2020-07-12
48,False,2020-07-19
67,False,2020-07-26
58,False,2020-08-02
29,False,2020-08-09
58,False,2020-08-16
47,False,2020-08-23
50,False,2020-08-30
