anxiety,isPartial,date
92,False,2019-01-06
69,False,2019-01-13
70,False,2019-01-20
78,False,2019-01-27
80,False,2019-02-03
100,False,2019-02-10
76,False,2019-02-17
78,False,2019-02-24
87,False,2019-03-03
72,False,2019-03-10
80,False,2019-03-17
69,False,2019-03-24
80,False,2019-03-31
70,False,2019-04-07
57,False,2019-04-14
55,False,2019-04-21
72,False,2019-04-28
80,False,2019-05-05
80,False,2019-05-12
67,False,2019-05-19
52,False,2019-05-26
77,False,2019-06-02
68,False,2019-06-09
67,False,2019-06-16
75,False,2019-06-23
91,False,2019-06-30
65,False,2019-07-07
52,False,2019-07-14
65,False,2019-07-21
88,False,2019-07-28
89,False,2019-08-04
75,False,2019-08-11
83,False,2019-08-18
75,False,2019-08-25
86,False,2019-09-01
61,False,2019-09-08
77,False,2019-09-15
79,False,2019-09-22
83,False,2019-09-29
72,False,2019-10-06
74,False,2019-10-13
76,False,2019-10-20
64,False,2019-10-27
69,False,2019-11-03
83,False,2019-11-10
72,False,2019-11-17
65,False,2019-11-24
72,False,2019-12-01
72,False,2019-12-08
63,False,2019-12-15
59,False,2019-12-22
55,False,2019-12-29
88,False,2020-01-05
73,False,2020-01-12
64,False,2020-01-19
76,False,2020-01-26
70,False,2020-02-02
80,False,2020-02-09
72,False,2020-02-16
76,False,2020-02-23
81,False,2020-03-01
67,False,2020-03-08
56,False,2020-03-15
75,False,2020-03-22
60,False,2020-03-29
67,False,2020-04-05
54,False,2020-04-12
76,False,2020-04-19
71,False,2020-04-26
67,False,2020-05-03
63,False,2020-05-10
60,False,2020-05-17
68,False,2020-05-24
63,False,2020-05-31
67,False,2020-06-07
71,False,2020-06-14
70,False,2020-06-21
64,False,2020-06-28
81,False,2020-07-05
73,False,2020-07-12
60,False,2020-07-19
74,False,2020-07-26
74,False,2020-08-02
53,False,2020-08-09
85,False,2020-08-16
87,False,2020-08-23
95,False,2020-08-30
