how to deal with depression,isPartial,date
31,False,2019-01-06
31,False,2019-01-13
0,False,2019-01-20
0,False,2019-01-27
30,False,2019-02-03
0,False,2019-02-10
30,False,2019-02-17
30,False,2019-02-24
31,False,2019-03-03
31,False,2019-03-10
0,False,2019-03-17
31,False,2019-03-24
0,False,2019-03-31
32,False,2019-04-07
32,False,2019-04-14
64,False,2019-04-21
32,False,2019-04-28
0,False,2019-05-05
33,False,2019-05-12
100,False,2019-05-19
68,False,2019-05-26
33,False,2019-06-02
33,False,2019-06-09
0,False,2019-06-16
50,False,2019-06-23
0,False,2019-06-30
67,False,2019-07-07
33,False,2019-07-14
0,False,2019-07-21
0,False,2019-07-28
32,False,2019-08-04
31,False,2019-08-11
31,False,2019-08-18
0,False,2019-08-25
30,False,2019-09-01
0,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
30,False,2019-09-29
31,False,2019-10-06
0,False,2019-10-13
29,False,2019-10-20
30,False,2019-10-27
38,False,2019-11-03
58,False,2019-11-10
0,False,2019-11-17
30,False,2019-11-24
28,False,2019-12-01
0,False,2019-12-08
30,False,2019-12-15
0,False,2019-12-22
30,False,2019-12-29
57,False,2020-01-05
0,False,2020-01-12
28,False,2020-01-19
27,False,2020-01-26
0,False,2020-02-02
27,False,2020-02-09
27,False,2020-02-16
26,False,2020-02-23
26,False,2020-03-01
0,False,2020-03-08
25,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
25,False,2020-04-05
24,False,2020-04-12
24,False,2020-04-19
24,False,2020-04-26
49,False,2020-05-03
25,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
25,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
27,False,2020-06-28
27,False,2020-07-05
27,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
26,False,2020-08-02
25,False,2020-08-09
25,False,2020-08-16
25,False,2020-08-23
25,False,2020-08-30
