depression -economic -tropical -great -unemployment -headed -the -recession -2020,isPartial,date
96,False,2019-01-06
79,False,2019-01-13
85,False,2019-01-20
62,False,2019-01-27
96,False,2019-02-03
92,False,2019-02-10
82,False,2019-02-17
94,False,2019-02-24
100,False,2019-03-03
86,False,2019-03-10
80,False,2019-03-17
72,False,2019-03-24
84,False,2019-03-31
77,False,2019-04-07
77,False,2019-04-14
84,False,2019-04-21
82,False,2019-04-28
88,False,2019-05-05
80,False,2019-05-12
69,False,2019-05-19
77,False,2019-05-26
69,False,2019-06-02
74,False,2019-06-09
64,False,2019-06-16
67,False,2019-06-23
74,False,2019-06-30
59,False,2019-07-07
67,False,2019-07-14
73,False,2019-07-21
67,False,2019-07-28
81,False,2019-08-04
71,False,2019-08-11
52,False,2019-08-18
62,False,2019-08-25
55,False,2019-09-01
78,False,2019-09-08
87,False,2019-09-15
81,False,2019-09-22
76,False,2019-09-29
81,False,2019-10-06
91,False,2019-10-13
86,False,2019-10-20
79,False,2019-10-27
74,False,2019-11-03
88,False,2019-11-10
87,False,2019-11-17
59,False,2019-11-24
75,False,2019-12-01
79,False,2019-12-08
78,False,2019-12-15
61,False,2019-12-22
71,False,2019-12-29
68,False,2020-01-05
89,False,2020-01-12
78,False,2020-01-19
87,False,2020-01-26
86,False,2020-02-02
79,False,2020-02-09
84,False,2020-02-16
80,False,2020-02-23
71,False,2020-03-01
66,False,2020-03-08
54,False,2020-03-15
55,False,2020-03-22
51,False,2020-03-29
70,False,2020-04-05
84,False,2020-04-12
60,False,2020-04-19
74,False,2020-04-26
68,False,2020-05-03
74,False,2020-05-10
59,False,2020-05-17
62,False,2020-05-24
63,False,2020-05-31
68,False,2020-06-07
70,False,2020-06-14
68,False,2020-06-21
76,False,2020-06-28
65,False,2020-07-05
71,False,2020-07-12
67,False,2020-07-19
63,False,2020-07-26
75,False,2020-08-02
70,False,2020-08-09
63,False,2020-08-16
58,False,2020-08-23
60,False,2020-08-30
