postpartum depression,isPartial,date
0,False,2019-01-06
37,False,2019-01-13
0,False,2019-01-20
75,False,2019-01-27
0,False,2019-02-03
37,False,2019-02-10
37,False,2019-02-17
0,False,2019-02-24
0,False,2019-03-03
0,False,2019-03-10
0,False,2019-03-17
37,False,2019-03-24
0,False,2019-03-31
0,False,2019-04-07
0,False,2019-04-14
37,False,2019-04-21
0,False,2019-04-28
37,False,2019-05-05
36,False,2019-05-12
0,False,2019-05-19
0,False,2019-05-26
35,False,2019-06-02
35,False,2019-06-09
34,False,2019-06-16
0,False,2019-06-23
0,False,2019-06-30
35,False,2019-07-07
0,False,2019-07-14
0,False,2019-07-21
36,False,2019-07-28
36,False,2019-08-04
34,False,2019-08-11
36,False,2019-08-18
0,False,2019-08-25
0,False,2019-09-01
0,False,2019-09-08
35,False,2019-09-15
35,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
35,False,2019-10-13
35,False,2019-10-20
0,False,2019-10-27
36,False,2019-11-03
35,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
36,False,2019-12-01
35,False,2019-12-08
0,False,2019-12-15
34,False,2019-12-22
35,False,2019-12-29
33,False,2020-01-05
0,False,2020-01-12
34,False,2020-01-19
100,False,2020-01-26
34,False,2020-02-02
0,False,2020-02-09
33,False,2020-02-16
65,False,2020-02-23
32,False,2020-03-01
31,False,2020-03-08
32,False,2020-03-15
0,False,2020-03-22
61,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
28,False,2020-04-19
28,False,2020-04-26
28,False,2020-05-03
29,False,2020-05-10
57,False,2020-05-17
29,False,2020-05-24
58,False,2020-05-31
30,False,2020-06-07
31,False,2020-06-14
31,False,2020-06-21
0,False,2020-06-28
31,False,2020-07-05
31,False,2020-07-12
0,False,2020-07-19
32,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
32,False,2020-08-16
32,False,2020-08-23
0,False,2020-08-30
