severe depression,isPartial,date
62,False,2019-01-06
71,False,2019-01-13
70,False,2019-01-20
67,False,2019-01-27
68,False,2019-02-03
72,False,2019-02-10
76,False,2019-02-17
78,False,2019-02-24
70,False,2019-03-03
83,False,2019-03-10
100,False,2019-03-17
78,False,2019-03-24
84,False,2019-03-31
87,False,2019-04-07
70,False,2019-04-14
81,False,2019-04-21
75,False,2019-04-28
86,False,2019-05-05
70,False,2019-05-12
66,False,2019-05-19
56,False,2019-05-26
59,False,2019-06-02
73,False,2019-06-09
71,False,2019-06-16
72,False,2019-06-23
54,False,2019-06-30
70,False,2019-07-07
69,False,2019-07-14
68,False,2019-07-21
64,False,2019-07-28
58,False,2019-08-04
65,False,2019-08-11
61,False,2019-08-18
64,False,2019-08-25
64,False,2019-09-01
69,False,2019-09-08
66,False,2019-09-15
79,False,2019-09-22
72,False,2019-09-29
59,False,2019-10-06
68,False,2019-10-13
68,False,2019-10-20
87,False,2019-10-27
79,False,2019-11-03
65,False,2019-11-10
82,False,2019-11-17
73,False,2019-11-24
71,False,2019-12-01
81,False,2019-12-08
80,False,2019-12-15
75,False,2019-12-22
65,False,2019-12-29
69,False,2020-01-05
79,False,2020-01-12
65,False,2020-01-19
99,False,2020-01-26
89,False,2020-02-02
64,False,2020-02-09
70,False,2020-02-16
80,False,2020-02-23
57,False,2020-03-01
62,False,2020-03-08
54,False,2020-03-15
50,False,2020-03-22
66,False,2020-03-29
72,False,2020-04-05
72,False,2020-04-12
74,False,2020-04-19
71,False,2020-04-26
80,False,2020-05-03
67,False,2020-05-10
64,False,2020-05-17
54,False,2020-05-24
58,False,2020-05-31
66,False,2020-06-07
66,False,2020-06-14
66,False,2020-06-21
65,False,2020-06-28
55,False,2020-07-05
58,False,2020-07-12
79,False,2020-07-19
84,False,2020-07-26
68,False,2020-08-02
57,False,2020-08-09
70,False,2020-08-16
55,False,2020-08-23
60,False,2020-08-30
