feeling down,isPartial,date
36,False,2019-01-06
18,False,2019-01-13
18,False,2019-01-20
18,False,2019-01-27
17,False,2019-02-03
33,False,2019-02-10
17,False,2019-02-17
17,False,2019-02-24
17,False,2019-03-03
45,False,2019-03-10
0,False,2019-03-17
18,False,2019-03-24
37,False,2019-03-31
47,False,2019-04-07
28,False,2019-04-14
29,False,2019-04-21
27,False,2019-04-28
64,False,2019-05-05
0,False,2019-05-12
19,False,2019-05-19
19,False,2019-05-26
18,False,2019-06-02
54,False,2019-06-09
19,False,2019-06-16
38,False,2019-06-23
0,False,2019-06-30
0,False,2019-07-07
19,False,2019-07-14
38,False,2019-07-21
38,False,2019-07-28
38,False,2019-08-04
28,False,2019-08-11
19,False,2019-08-18
37,False,2019-08-25
0,False,2019-09-01
43,False,2019-09-08
17,False,2019-09-15
26,False,2019-09-22
17,False,2019-09-29
17,False,2019-10-06
17,False,2019-10-13
17,False,2019-10-20
100,False,2019-10-27
17,False,2019-11-03
25,False,2019-11-10
33,False,2019-11-17
17,False,2019-11-24
24,False,2019-12-01
17,False,2019-12-08
0,False,2019-12-15
28,False,2019-12-22
0,False,2019-12-29
16,False,2020-01-05
16,False,2020-01-12
49,False,2020-01-19
24,False,2020-01-26
16,False,2020-02-02
0,False,2020-02-09
23,False,2020-02-16
37,False,2020-02-23
45,False,2020-03-01
22,False,2020-03-08
22,False,2020-03-15
43,False,2020-03-22
42,False,2020-03-29
21,False,2020-04-05
20,False,2020-04-12
33,False,2020-04-19
14,False,2020-04-26
27,False,2020-05-03
14,False,2020-05-10
41,False,2020-05-17
35,False,2020-05-24
20,False,2020-05-31
14,False,2020-06-07
21,False,2020-06-14
15,False,2020-06-21
0,False,2020-06-28
30,False,2020-07-05
0,False,2020-07-12
15,False,2020-07-19
16,False,2020-07-26
39,False,2020-08-02
16,False,2020-08-09
32,False,2020-08-16
31,False,2020-08-23
30,False,2020-08-30
