depression -economic -tropical -great -unemployment -headed -the -recession -2020,isPartial,date
75,False,2019-01-06
55,False,2019-01-13
81,False,2019-01-20
75,False,2019-01-27
60,False,2019-02-03
55,False,2019-02-10
57,False,2019-02-17
100,False,2019-02-24
50,False,2019-03-03
52,False,2019-03-10
61,False,2019-03-17
68,False,2019-03-24
85,False,2019-03-31
54,False,2019-04-07
55,False,2019-04-14
80,False,2019-04-21
42,False,2019-04-28
53,False,2019-05-05
63,False,2019-05-12
76,False,2019-05-19
68,False,2019-05-26
71,False,2019-06-02
62,False,2019-06-09
67,False,2019-06-16
90,False,2019-06-23
60,False,2019-06-30
44,False,2019-07-07
58,False,2019-07-14
61,False,2019-07-21
74,False,2019-07-28
59,False,2019-08-04
30,False,2019-08-11
63,False,2019-08-18
54,False,2019-08-25
60,False,2019-09-01
53,False,2019-09-08
52,False,2019-09-15
72,False,2019-09-22
75,False,2019-09-29
48,False,2019-10-06
74,False,2019-10-13
65,False,2019-10-20
53,False,2019-10-27
92,False,2019-11-03
76,False,2019-11-10
60,False,2019-11-17
61,False,2019-11-24
50,False,2019-12-01
69,False,2019-12-08
81,False,2019-12-15
42,False,2019-12-22
49,False,2019-12-29
58,False,2020-01-05
53,False,2020-01-12
81,False,2020-01-19
85,False,2020-01-26
62,False,2020-02-02
63,False,2020-02-09
44,False,2020-02-16
66,False,2020-02-23
71,False,2020-03-01
42,False,2020-03-08
67,False,2020-03-15
54,False,2020-03-22
47,False,2020-03-29
40,False,2020-04-05
56,False,2020-04-12
47,False,2020-04-19
59,False,2020-04-26
59,False,2020-05-03
89,False,2020-05-10
77,False,2020-05-17
81,False,2020-05-24
47,False,2020-05-31
70,False,2020-06-07
86,False,2020-06-14
66,False,2020-06-21
63,False,2020-06-28
71,False,2020-07-05
63,False,2020-07-12
79,False,2020-07-19
51,False,2020-07-26
68,False,2020-08-02
40,False,2020-08-09
62,False,2020-08-16
73,False,2020-08-23
45,False,2020-08-30
