manic depression,isPartial,date
53,False,2019-01-06
39,False,2019-01-13
0,False,2019-01-20
26,False,2019-01-27
51,False,2019-02-03
25,False,2019-02-10
25,False,2019-02-17
25,False,2019-02-24
79,False,2019-03-03
0,False,2019-03-10
27,False,2019-03-17
39,False,2019-03-24
40,False,2019-03-31
27,False,2019-04-07
27,False,2019-04-14
27,False,2019-04-21
0,False,2019-04-28
27,False,2019-05-05
28,False,2019-05-12
43,False,2019-05-19
29,False,2019-05-26
56,False,2019-06-02
28,False,2019-06-09
29,False,2019-06-16
28,False,2019-06-23
58,False,2019-06-30
56,False,2019-07-07
57,False,2019-07-14
0,False,2019-07-21
28,False,2019-07-28
46,False,2019-08-04
53,False,2019-08-11
26,False,2019-08-18
38,False,2019-08-25
100,False,2019-09-01
41,False,2019-09-08
50,False,2019-09-15
25,False,2019-09-22
51,False,2019-09-29
65,False,2019-10-06
38,False,2019-10-13
25,False,2019-10-20
38,False,2019-10-27
24,False,2019-11-03
73,False,2019-11-10
0,False,2019-11-17
49,False,2019-11-24
48,False,2019-12-01
25,False,2019-12-08
25,False,2019-12-15
27,False,2019-12-22
39,False,2019-12-29
24,False,2020-01-05
34,False,2020-01-12
47,False,2020-01-19
23,False,2020-01-26
38,False,2020-02-02
31,False,2020-02-09
23,False,2020-02-16
30,False,2020-02-23
22,False,2020-03-01
88,False,2020-03-08
22,False,2020-03-15
43,False,2020-03-22
51,False,2020-03-29
21,False,2020-04-05
27,False,2020-04-12
0,False,2020-04-19
27,False,2020-04-26
31,False,2020-05-03
64,False,2020-05-10
57,False,2020-05-17
22,False,2020-05-24
31,False,2020-05-31
21,False,2020-06-07
28,False,2020-06-14
59,False,2020-06-21
23,False,2020-06-28
57,False,2020-07-05
23,False,2020-07-12
47,False,2020-07-19
35,False,2020-07-26
22,False,2020-08-02
32,False,2020-08-09
42,False,2020-08-16
21,False,2020-08-23
32,False,2020-08-30
