dysthymic,isPartial,date
68,False,2019-08-25
100,False,2019-09-01
66,False,2019-09-08
66,False,2019-09-15
67,False,2019-09-22
68,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
65,False,2019-11-03
0,False,2019-11-10
64,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
67,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
63,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
61,False,2020-02-09
0,False,2020-02-16
59,False,2020-02-23
58,False,2020-03-01
58,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
54,False,2020-04-19
0,False,2020-04-26
55,False,2020-05-03
56,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
55,False,2020-05-31
0,False,2020-06-07
57,False,2020-06-14
0,False,2020-06-21
60,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
62,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
0,True,2020-08-16
