depression -economic -tropical -great -unemployment -headed -the -recession -2020,isPartial,date
84,False,2019-01-06
86,False,2019-01-13
86,False,2019-01-20
88,False,2019-01-27
93,False,2019-02-03
95,False,2019-02-10
93,False,2019-02-17
91,False,2019-02-24
100,False,2019-03-03
93,False,2019-03-10
94,False,2019-03-17
92,False,2019-03-24
89,False,2019-03-31
87,False,2019-04-07
85,False,2019-04-14
87,False,2019-04-21
86,False,2019-04-28
85,False,2019-05-05
85,False,2019-05-12
85,False,2019-05-19
82,False,2019-05-26
78,False,2019-06-02
75,False,2019-06-09
77,False,2019-06-16
77,False,2019-06-23
67,False,2019-06-30
73,False,2019-07-07
74,False,2019-07-14
76,False,2019-07-21
78,False,2019-07-28
74,False,2019-08-04
74,False,2019-08-11
73,False,2019-08-18
71,False,2019-08-25
72,False,2019-09-01
81,False,2019-09-08
80,False,2019-09-15
81,False,2019-09-22
84,False,2019-09-29
87,False,2019-10-06
90,False,2019-10-13
88,False,2019-10-20
84,False,2019-10-27
91,False,2019-11-03
87,False,2019-11-10
87,False,2019-11-17
72,False,2019-11-24
87,False,2019-12-01
87,False,2019-12-08
77,False,2019-12-15
65,False,2019-12-22
71,False,2019-12-29
78,False,2020-01-05
79,False,2020-01-12
80,False,2020-01-19
82,False,2020-01-26
79,False,2020-02-02
86,False,2020-02-09
85,False,2020-02-16
85,False,2020-02-23
82,False,2020-03-01
72,False,2020-03-08
59,False,2020-03-15
61,False,2020-03-22
66,False,2020-03-29
71,False,2020-04-05
73,False,2020-04-12
75,False,2020-04-19
76,False,2020-04-26
73,False,2020-05-03
74,False,2020-05-10
73,False,2020-05-17
69,False,2020-05-24
63,False,2020-05-31
70,False,2020-06-07
73,False,2020-06-14
72,False,2020-06-21
71,False,2020-06-28
70,False,2020-07-05
71,False,2020-07-12
75,False,2020-07-19
72,False,2020-07-26
74,False,2020-08-02
69,False,2020-08-09
75,False,2020-08-16
69,False,2020-08-23
71,False,2020-08-30
