clinical depression,isPartial,date
61,False,2019-01-06
74,False,2019-01-13
70,False,2019-01-20
79,False,2019-01-27
88,False,2019-02-03
68,False,2019-02-10
85,False,2019-02-17
76,False,2019-02-24
85,False,2019-03-03
62,False,2019-03-10
100,False,2019-03-17
76,False,2019-03-24
75,False,2019-03-31
71,False,2019-04-07
76,False,2019-04-14
71,False,2019-04-21
69,False,2019-04-28
67,False,2019-05-05
64,False,2019-05-12
81,False,2019-05-19
53,False,2019-05-26
72,False,2019-06-02
53,False,2019-06-09
65,False,2019-06-16
52,False,2019-06-23
64,False,2019-06-30
57,False,2019-07-07
56,False,2019-07-14
50,False,2019-07-21
61,False,2019-07-28
55,False,2019-08-04
47,False,2019-08-11
60,False,2019-08-18
71,False,2019-08-25
54,False,2019-09-01
82,False,2019-09-08
82,False,2019-09-15
70,False,2019-09-22
83,False,2019-09-29
75,False,2019-10-06
80,False,2019-10-13
81,False,2019-10-20
76,False,2019-10-27
59,False,2019-11-03
70,False,2019-11-10
70,False,2019-11-17
57,False,2019-11-24
72,False,2019-12-01
63,False,2019-12-08
71,False,2019-12-15
44,False,2019-12-22
53,False,2019-12-29
69,False,2020-01-05
56,False,2020-01-12
71,False,2020-01-19
60,False,2020-01-26
68,False,2020-02-02
79,False,2020-02-09
71,False,2020-02-16
79,False,2020-02-23
64,False,2020-03-01
52,False,2020-03-08
58,False,2020-03-15
49,False,2020-03-22
61,False,2020-03-29
64,False,2020-04-05
57,False,2020-04-12
70,False,2020-04-19
76,False,2020-04-26
65,False,2020-05-03
69,False,2020-05-10
56,False,2020-05-17
46,False,2020-05-24
55,False,2020-05-31
62,False,2020-06-07
72,False,2020-06-14
63,False,2020-06-21
66,False,2020-06-28
52,False,2020-07-05
48,False,2020-07-12
71,False,2020-07-19
44,False,2020-07-26
50,False,2020-08-02
53,False,2020-08-09
69,False,2020-08-16
68,False,2020-08-23
65,False,2020-08-30
