depressive,isPartial,date
23,False,2019-01-06
37,False,2019-01-13
84,False,2019-01-20
37,False,2019-01-27
44,False,2019-02-03
28,False,2019-02-10
14,False,2019-02-17
21,False,2019-02-24
51,False,2019-03-03
23,False,2019-03-10
46,False,2019-03-17
23,False,2019-03-24
31,False,2019-03-31
55,False,2019-04-07
40,False,2019-04-14
48,False,2019-04-21
93,False,2019-04-28
23,False,2019-05-05
23,False,2019-05-12
24,False,2019-05-19
24,False,2019-05-26
23,False,2019-06-02
46,False,2019-06-09
16,False,2019-06-16
80,False,2019-06-23
16,False,2019-06-30
39,False,2019-07-07
24,False,2019-07-14
32,False,2019-07-21
40,False,2019-07-28
48,False,2019-08-04
24,False,2019-08-11
16,False,2019-08-18
63,False,2019-08-25
67,False,2019-09-01
44,False,2019-09-08
44,False,2019-09-15
29,False,2019-09-22
51,False,2019-09-29
15,False,2019-10-06
44,False,2019-10-13
29,False,2019-10-20
14,False,2019-10-27
28,False,2019-11-03
21,False,2019-11-10
14,False,2019-11-17
29,False,2019-11-24
41,False,2019-12-01
42,False,2019-12-08
14,False,2019-12-15
47,False,2019-12-22
22,False,2019-12-29
34,False,2020-01-05
40,False,2020-01-12
14,False,2020-01-19
61,False,2020-01-26
26,False,2020-02-02
60,False,2020-02-09
20,False,2020-02-16
37,False,2020-02-23
25,False,2020-03-01
100,False,2020-03-08
25,False,2020-03-15
36,False,2020-03-22
24,False,2020-03-29
35,False,2020-04-05
40,False,2020-04-12
28,False,2020-04-19
23,False,2020-04-26
40,False,2020-05-03
35,False,2020-05-10
29,False,2020-05-17
12,False,2020-05-24
11,False,2020-05-31
35,False,2020-06-07
36,False,2020-06-14
31,False,2020-06-21
26,False,2020-06-28
51,False,2020-07-05
32,False,2020-07-12
26,False,2020-07-19
27,False,2020-07-26
26,False,2020-08-02
27,False,2020-08-09
54,False,2020-08-16
20,False,2020-08-23
25,False,2020-08-30
