clinical depression,isPartial,date
0,False,2019-01-06
35,False,2019-01-13
34,False,2019-01-20
34,False,2019-01-27
33,False,2019-02-03
33,False,2019-02-10
100,False,2019-02-17
0,False,2019-02-24
35,False,2019-03-03
0,False,2019-03-10
0,False,2019-03-17
68,False,2019-03-24
35,False,2019-03-31
36,False,2019-04-07
0,False,2019-04-14
35,False,2019-04-21
0,False,2019-04-28
54,False,2019-05-05
0,False,2019-05-12
74,False,2019-05-19
57,False,2019-05-26
37,False,2019-06-02
0,False,2019-06-09
74,False,2019-06-16
0,False,2019-06-23
38,False,2019-06-30
37,False,2019-07-07
0,False,2019-07-14
74,False,2019-07-21
37,False,2019-07-28
0,False,2019-08-04
35,False,2019-08-11
0,False,2019-08-18
0,False,2019-08-25
33,False,2019-09-01
0,False,2019-09-08
0,False,2019-09-15
33,False,2019-09-22
33,False,2019-09-29
51,False,2019-10-06
33,False,2019-10-13
33,False,2019-10-20
33,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
31,False,2019-11-17
32,False,2019-11-24
32,False,2019-12-01
33,False,2019-12-08
0,False,2019-12-15
35,False,2019-12-22
0,False,2019-12-29
32,False,2020-01-05
0,False,2020-01-12
61,False,2020-01-19
30,False,2020-01-26
45,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
29,False,2020-03-01
72,False,2020-03-08
42,False,2020-03-15
0,False,2020-03-22
27,False,2020-03-29
27,False,2020-04-05
0,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
27,False,2020-05-31
0,False,2020-06-07
28,False,2020-06-14
29,False,2020-06-21
59,False,2020-06-28
30,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
30,False,2020-07-26
28,False,2020-08-02
28,False,2020-08-09
0,False,2020-08-16
41,False,2020-08-23
56,False,2020-08-30
