feeling down,isPartial,date
100,False,2019-01-06
25,False,2019-01-13
75,False,2019-01-20
65,False,2019-01-27
36,False,2019-02-03
24,False,2019-02-10
71,False,2019-02-17
56,False,2019-02-24
38,False,2019-03-03
38,False,2019-03-10
38,False,2019-03-17
58,False,2019-03-24
25,False,2019-03-31
64,False,2019-04-07
60,False,2019-04-14
39,False,2019-04-21
34,False,2019-04-28
52,False,2019-05-05
52,False,2019-05-12
81,False,2019-05-19
27,False,2019-05-26
40,False,2019-06-02
26,False,2019-06-09
27,False,2019-06-16
40,False,2019-06-23
27,False,2019-06-30
40,False,2019-07-07
0,False,2019-07-14
68,False,2019-07-21
40,False,2019-07-28
35,False,2019-08-04
25,False,2019-08-11
50,False,2019-08-18
61,False,2019-08-25
24,False,2019-09-01
59,False,2019-09-08
47,False,2019-09-15
24,False,2019-09-22
24,False,2019-09-29
58,False,2019-10-06
24,False,2019-10-13
39,False,2019-10-20
0,False,2019-10-27
23,False,2019-11-03
46,False,2019-11-10
34,False,2019-11-17
0,False,2019-11-24
46,False,2019-12-01
59,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
24,False,2019-12-29
0,False,2020-01-05
21,False,2020-01-12
44,False,2020-01-19
44,False,2020-01-26
44,False,2020-02-02
36,False,2020-02-09
21,False,2020-02-16
28,False,2020-02-23
31,False,2020-03-01
42,False,2020-03-08
27,False,2020-03-15
20,False,2020-03-22
39,False,2020-03-29
40,False,2020-04-05
49,False,2020-04-12
70,False,2020-04-19
45,False,2020-04-26
20,False,2020-05-03
50,False,2020-05-10
41,False,2020-05-17
41,False,2020-05-24
100,False,2020-05-31
51,False,2020-06-07
20,False,2020-06-14
42,False,2020-06-21
43,False,2020-06-28
43,False,2020-07-05
29,False,2020-07-12
22,False,2020-07-19
58,False,2020-07-26
34,False,2020-08-02
41,False,2020-08-09
60,False,2020-08-16
20,False,2020-08-23
30,False,2020-08-30
