feeling down,isPartial,date
38,False,2019-01-06
0,False,2019-01-13
37,False,2019-01-20
0,False,2019-01-27
36,False,2019-02-03
37,False,2019-02-10
37,False,2019-02-17
36,False,2019-02-24
37,False,2019-03-03
0,False,2019-03-10
38,False,2019-03-17
0,False,2019-03-24
0,False,2019-03-31
0,False,2019-04-07
79,False,2019-04-14
0,False,2019-04-21
38,False,2019-04-28
38,False,2019-05-05
40,False,2019-05-12
0,False,2019-05-19
0,False,2019-05-26
42,False,2019-06-02
42,False,2019-06-09
42,False,2019-06-16
41,False,2019-06-23
0,False,2019-06-30
41,False,2019-07-07
0,False,2019-07-14
86,False,2019-07-21
0,False,2019-07-28
0,False,2019-08-04
40,False,2019-08-11
0,False,2019-08-18
36,False,2019-08-25
0,False,2019-09-01
36,False,2019-09-08
36,False,2019-09-15
36,False,2019-09-22
36,False,2019-09-29
37,False,2019-10-06
37,False,2019-10-13
37,False,2019-10-20
36,False,2019-10-27
36,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
38,False,2019-11-24
36,False,2019-12-01
0,False,2019-12-08
37,False,2019-12-15
0,False,2019-12-22
38,False,2019-12-29
71,False,2020-01-05
34,False,2020-01-12
51,False,2020-01-19
45,False,2020-01-26
34,False,2020-02-02
0,False,2020-02-09
34,False,2020-02-16
32,False,2020-02-23
33,False,2020-03-01
34,False,2020-03-08
33,False,2020-03-15
32,False,2020-03-22
0,False,2020-03-29
62,False,2020-04-05
29,False,2020-04-12
40,False,2020-04-19
30,False,2020-04-26
30,False,2020-05-03
30,False,2020-05-10
64,False,2020-05-17
33,False,2020-05-24
100,False,2020-05-31
0,False,2020-06-07
34,False,2020-06-14
35,False,2020-06-21
0,False,2020-06-28
34,False,2020-07-05
35,False,2020-07-12
72,False,2020-07-19
0,False,2020-07-26
36,False,2020-08-02
0,False,2020-08-09
36,False,2020-08-16
0,False,2020-08-23
0,False,2020-08-30
