feeling down,isPartial,date
0,False,2019-01-06
0,False,2019-01-13
70,False,2019-01-20
35,False,2019-01-27
51,False,2019-02-03
35,False,2019-02-10
35,False,2019-02-17
71,False,2019-02-24
35,False,2019-03-03
35,False,2019-03-10
0,False,2019-03-17
0,False,2019-03-24
70,False,2019-03-31
35,False,2019-04-07
35,False,2019-04-14
0,False,2019-04-21
34,False,2019-04-28
0,False,2019-05-05
0,False,2019-05-12
34,False,2019-05-19
0,False,2019-05-26
0,False,2019-06-02
33,False,2019-06-09
0,False,2019-06-16
32,False,2019-06-23
33,False,2019-06-30
33,False,2019-07-07
0,False,2019-07-14
0,False,2019-07-21
0,False,2019-07-28
34,False,2019-08-04
32,False,2019-08-11
33,False,2019-08-18
0,False,2019-08-25
0,False,2019-09-01
33,False,2019-09-08
33,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
62,False,2019-10-06
33,False,2019-10-13
33,False,2019-10-20
34,False,2019-10-27
0,False,2019-11-03
33,False,2019-11-10
44,False,2019-11-17
100,False,2019-11-24
34,False,2019-12-01
49,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
44,False,2019-12-29
0,False,2020-01-05
31,False,2020-01-12
31,False,2020-01-19
63,False,2020-01-26
48,False,2020-02-02
31,False,2020-02-09
0,False,2020-02-16
31,False,2020-02-23
0,False,2020-03-01
29,False,2020-03-08
30,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
28,False,2020-04-05
27,False,2020-04-12
26,False,2020-04-19
27,False,2020-04-26
79,False,2020-05-03
63,False,2020-05-10
0,False,2020-05-17
55,False,2020-05-24
0,False,2020-05-31
28,False,2020-06-07
29,False,2020-06-14
58,False,2020-06-21
29,False,2020-06-28
29,False,2020-07-05
59,False,2020-07-12
59,False,2020-07-19
30,False,2020-07-26
30,False,2020-08-02
30,False,2020-08-09
61,False,2020-08-16
31,False,2020-08-23
30,False,2020-08-30
