clinical depression,isPartial,date
39,False,2019-01-06
0,False,2019-01-13
39,False,2019-01-20
0,False,2019-01-27
38,False,2019-02-03
36,False,2019-02-10
36,False,2019-02-17
36,False,2019-02-24
0,False,2019-03-03
39,False,2019-03-10
40,False,2019-03-17
0,False,2019-03-24
39,False,2019-03-31
40,False,2019-04-07
0,False,2019-04-14
0,False,2019-04-21
40,False,2019-04-28
40,False,2019-05-05
60,False,2019-05-12
81,False,2019-05-19
40,False,2019-05-26
0,False,2019-06-02
78,False,2019-06-09
82,False,2019-06-16
82,False,2019-06-23
0,False,2019-06-30
0,False,2019-07-07
41,False,2019-07-14
41,False,2019-07-21
41,False,2019-07-28
0,False,2019-08-04
41,False,2019-08-11
0,False,2019-08-18
40,False,2019-08-25
76,False,2019-09-01
37,False,2019-09-08
0,False,2019-09-15
37,False,2019-09-22
0,False,2019-09-29
38,False,2019-10-06
56,False,2019-10-13
37,False,2019-10-20
54,False,2019-10-27
36,False,2019-11-03
36,False,2019-11-10
36,False,2019-11-17
37,False,2019-11-24
52,False,2019-12-01
89,False,2019-12-08
36,False,2019-12-15
40,False,2019-12-22
0,False,2019-12-29
35,False,2020-01-05
34,False,2020-01-12
35,False,2020-01-19
35,False,2020-01-26
34,False,2020-02-02
0,False,2020-02-09
33,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
32,False,2020-03-08
65,False,2020-03-15
0,False,2020-03-22
46,False,2020-03-29
0,False,2020-04-05
29,False,2020-04-12
29,False,2020-04-19
59,False,2020-04-26
58,False,2020-05-03
0,False,2020-05-10
60,False,2020-05-17
0,False,2020-05-24
29,False,2020-05-31
0,False,2020-06-07
62,False,2020-06-14
0,False,2020-06-21
50,False,2020-06-28
33,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
34,False,2020-07-26
0,False,2020-08-02
68,False,2020-08-09
35,False,2020-08-16
100,False,2020-08-23
32,False,2020-08-30
