depression -economic -tropical -great -unemployment -headed -the -recession -2020,isPartial,date
67,False,2019-01-06
76,False,2019-01-13
84,False,2019-01-20
100,False,2019-01-27
93,False,2019-02-03
81,False,2019-02-10
81,False,2019-02-17
83,False,2019-02-24
96,False,2019-03-03
86,False,2019-03-10
87,False,2019-03-17
86,False,2019-03-24
89,False,2019-03-31
78,False,2019-04-07
79,False,2019-04-14
76,False,2019-04-21
90,False,2019-04-28
83,False,2019-05-05
83,False,2019-05-12
84,False,2019-05-19
74,False,2019-05-26
77,False,2019-06-02
85,False,2019-06-09
85,False,2019-06-16
83,False,2019-06-23
71,False,2019-06-30
69,False,2019-07-07
86,False,2019-07-14
78,False,2019-07-21
80,False,2019-07-28
76,False,2019-08-04
70,False,2019-08-11
77,False,2019-08-18
65,False,2019-08-25
59,False,2019-09-01
85,False,2019-09-08
76,False,2019-09-15
77,False,2019-09-22
81,False,2019-09-29
93,False,2019-10-06
82,False,2019-10-13
89,False,2019-10-20
87,False,2019-10-27
82,False,2019-11-03
79,False,2019-11-10
83,False,2019-11-17
68,False,2019-11-24
72,False,2019-12-01
84,False,2019-12-08
69,False,2019-12-15
66,False,2019-12-22
66,False,2019-12-29
76,False,2020-01-05
67,False,2020-01-12
67,False,2020-01-19
82,False,2020-01-26
76,False,2020-02-02
78,False,2020-02-09
75,False,2020-02-16
73,False,2020-02-23
79,False,2020-03-01
71,False,2020-03-08
56,False,2020-03-15
59,False,2020-03-22
61,False,2020-03-29
65,False,2020-04-05
80,False,2020-04-12
68,False,2020-04-19
76,False,2020-04-26
71,False,2020-05-03
68,False,2020-05-10
67,False,2020-05-17
66,False,2020-05-24
64,False,2020-05-31
77,False,2020-06-07
78,False,2020-06-14
80,False,2020-06-21
70,False,2020-06-28
73,False,2020-07-05
87,False,2020-07-12
82,False,2020-07-19
86,False,2020-07-26
75,False,2020-08-02
66,False,2020-08-09
75,False,2020-08-16
72,False,2020-08-23
68,False,2020-08-30
