violent,isPartial,date
20,False,2019-08-25
55,False,2019-09-01
68,False,2019-09-08
58,False,2019-09-15
40,False,2019-09-22
39,False,2019-09-29
80,False,2019-10-06
65,False,2019-10-13
30,False,2019-10-20
59,False,2019-10-27
44,False,2019-11-03
53,False,2019-11-10
39,False,2019-11-17
31,False,2019-11-24
38,False,2019-12-01
69,False,2019-12-08
45,False,2019-12-15
40,False,2019-12-22
42,False,2019-12-29
39,False,2020-01-05
46,False,2020-01-12
70,False,2020-01-19
35,False,2020-01-26
28,False,2020-02-02
70,False,2020-02-09
69,False,2020-02-16
72,False,2020-02-23
64,False,2020-03-01
27,False,2020-03-08
27,False,2020-03-15
31,False,2020-03-22
38,False,2020-03-29
34,False,2020-04-05
32,False,2020-04-12
49,False,2020-04-19
41,False,2020-04-26
58,False,2020-05-03
38,False,2020-05-10
49,False,2020-05-17
64,False,2020-05-24
100,False,2020-05-31
82,False,2020-06-07
56,False,2020-06-14
65,False,2020-06-21
30,False,2020-06-28
70,False,2020-07-05
29,False,2020-07-12
63,False,2020-07-19
20,False,2020-07-26
74,False,2020-08-02
44,False,2020-08-09
78,True,2020-08-16
