violence,isPartial,date
25,False,2019-08-25
26,False,2019-09-01
33,False,2019-09-08
33,False,2019-09-15
27,False,2019-09-22
35,False,2019-09-29
32,False,2019-10-06
29,False,2019-10-13
32,False,2019-10-20
30,False,2019-10-27
25,False,2019-11-03
32,False,2019-11-10
29,False,2019-11-17
20,False,2019-11-24
38,False,2019-12-01
36,False,2019-12-08
29,False,2019-12-15
20,False,2019-12-22
27,False,2019-12-29
31,False,2020-01-05
35,False,2020-01-12
33,False,2020-01-19
30,False,2020-01-26
39,False,2020-02-02
33,False,2020-02-09
31,False,2020-02-16
41,False,2020-02-23
28,False,2020-03-01
26,False,2020-03-08
27,False,2020-03-15
20,False,2020-03-22
24,False,2020-03-29
23,False,2020-04-05
25,False,2020-04-12
23,False,2020-04-19
31,False,2020-04-26
23,False,2020-05-03
24,False,2020-05-10
29,False,2020-05-17
46,False,2020-05-24
100,False,2020-05-31
55,False,2020-06-07
39,False,2020-06-14
30,False,2020-06-21
25,False,2020-06-28
29,False,2020-07-05
32,False,2020-07-12
39,False,2020-07-19
35,False,2020-07-26
31,False,2020-08-02
32,False,2020-08-09
29,True,2020-08-16
