anxiety disorder,isPartial,date
61,False,2019-08-11
67,False,2019-08-18
62,False,2019-08-25
61,False,2019-09-01
76,False,2019-09-08
74,False,2019-09-15
81,False,2019-09-22
88,False,2019-09-29
74,False,2019-10-06
83,False,2019-10-13
88,False,2019-10-20
85,False,2019-10-27
82,False,2019-11-03
84,False,2019-11-10
100,False,2019-11-17
71,False,2019-11-24
92,False,2019-12-01
89,False,2019-12-08
71,False,2019-12-15
48,False,2019-12-22
59,False,2019-12-29
72,False,2020-01-05
77,False,2020-01-12
67,False,2020-01-19
78,False,2020-01-26
74,False,2020-02-02
85,False,2020-02-09
90,False,2020-02-16
91,False,2020-02-23
87,False,2020-03-01
82,False,2020-03-08
57,False,2020-03-15
62,False,2020-03-22
68,False,2020-03-29
75,False,2020-04-05
72,False,2020-04-12
78,False,2020-04-19
83,False,2020-04-26
84,False,2020-05-03
79,False,2020-05-10
68,False,2020-05-17
63,False,2020-05-24
59,False,2020-05-31
72,False,2020-06-07
72,False,2020-06-14
64,False,2020-06-21
61,False,2020-06-28
62,False,2020-07-05
70,False,2020-07-12
78,False,2020-07-19
72,False,2020-07-26
77,True,2020-08-02
