anxiety medication,isPartial,date
100,False,2019-08-11
91,False,2019-08-18
87,False,2019-08-25
87,False,2019-09-01
94,False,2019-09-08
87,False,2019-09-15
99,False,2019-09-22
96,False,2019-09-29
94,False,2019-10-06
92,False,2019-10-13
95,False,2019-10-20
85,False,2019-10-27
92,False,2019-11-03
92,False,2019-11-10
89,False,2019-11-17
74,False,2019-11-24
77,False,2019-12-01
80,False,2019-12-08
78,False,2019-12-15
63,False,2019-12-22
82,False,2019-12-29
87,False,2020-01-05
95,False,2020-01-12
89,False,2020-01-19
85,False,2020-01-26
93,False,2020-02-02
91,False,2020-02-09
98,False,2020-02-16
91,False,2020-02-23
87,False,2020-03-01
77,False,2020-03-08
67,False,2020-03-15
70,False,2020-03-22
68,False,2020-03-29
63,False,2020-04-05
72,False,2020-04-12
71,False,2020-04-19
74,False,2020-04-26
73,False,2020-05-03
71,False,2020-05-10
70,False,2020-05-17
75,False,2020-05-24
78,False,2020-05-31
86,False,2020-06-07
88,False,2020-06-14
94,False,2020-06-21
84,False,2020-06-28
88,False,2020-07-05
85,False,2020-07-12
85,False,2020-07-19
86,False,2020-07-26
85,True,2020-08-02
