anxiety symptoms,isPartial,date
61,False,2019-08-11
60,False,2019-08-18
68,False,2019-08-25
56,False,2019-09-01
62,False,2019-09-08
62,False,2019-09-15
67,False,2019-09-22
61,False,2019-09-29
64,False,2019-10-06
61,False,2019-10-13
65,False,2019-10-20
62,False,2019-10-27
57,False,2019-11-03
63,False,2019-11-10
67,False,2019-11-17
57,False,2019-11-24
67,False,2019-12-01
68,False,2019-12-08
59,False,2019-12-15
52,False,2019-12-22
60,False,2019-12-29
65,False,2020-01-05
67,False,2020-01-12
64,False,2020-01-19
66,False,2020-01-26
67,False,2020-02-02
66,False,2020-02-09
69,False,2020-02-16
69,False,2020-02-23
66,False,2020-03-01
78,False,2020-03-08
90,False,2020-03-15
95,False,2020-03-22
100,False,2020-03-29
86,False,2020-04-05
71,False,2020-04-12
76,False,2020-04-19
81,False,2020-04-26
68,False,2020-05-03
71,False,2020-05-10
69,False,2020-05-17
64,False,2020-05-24
62,False,2020-05-31
66,False,2020-06-07
69,False,2020-06-14
88,False,2020-06-21
95,False,2020-06-28
94,False,2020-07-05
82,False,2020-07-12
78,False,2020-07-19
72,False,2020-07-26
71,True,2020-08-02
