symptoms of anxiety,isPartial,date
55,False,2019-08-11
48,False,2019-08-18
52,False,2019-08-25
56,False,2019-09-01
58,False,2019-09-08
65,False,2019-09-15
60,False,2019-09-22
61,False,2019-09-29
69,False,2019-10-06
58,False,2019-10-13
51,False,2019-10-20
69,False,2019-10-27
62,False,2019-11-03
65,False,2019-11-10
68,False,2019-11-17
58,False,2019-11-24
70,False,2019-12-01
66,False,2019-12-08
62,False,2019-12-15
45,False,2019-12-22
45,False,2019-12-29
60,False,2020-01-05
61,False,2020-01-12
64,False,2020-01-19
58,False,2020-01-26
58,False,2020-02-02
61,False,2020-02-09
66,False,2020-02-16
69,False,2020-02-23
65,False,2020-03-01
71,False,2020-03-08
86,False,2020-03-15
90,False,2020-03-22
100,False,2020-03-29
89,False,2020-04-05
85,False,2020-04-12
73,False,2020-04-19
81,False,2020-04-26
70,False,2020-05-03
67,False,2020-05-10
67,False,2020-05-17
65,False,2020-05-24
52,False,2020-05-31
62,False,2020-06-07
64,False,2020-06-14
67,False,2020-06-21
71,False,2020-06-28
74,False,2020-07-05
71,False,2020-07-12
74,False,2020-07-19
70,False,2020-07-26
53,True,2020-08-02
