panic,isPartial,date
52,False,2019-08-11
53,False,2019-08-18
50,False,2019-08-25
50,False,2019-09-01
51,False,2019-09-08
52,False,2019-09-15
52,False,2019-09-22
54,False,2019-09-29
51,False,2019-10-06
50,False,2019-10-13
56,False,2019-10-20
57,False,2019-10-27
52,False,2019-11-03
51,False,2019-11-10
53,False,2019-11-17
51,False,2019-11-24
52,False,2019-12-01
51,False,2019-12-08
47,False,2019-12-15
45,False,2019-12-22
51,False,2019-12-29
49,False,2020-01-05
51,False,2020-01-12
51,False,2020-01-19
54,False,2020-01-26
54,False,2020-02-02
54,False,2020-02-09
51,False,2020-02-16
58,False,2020-02-23
68,False,2020-03-01
100,False,2020-03-08
93,False,2020-03-15
70,False,2020-03-22
67,False,2020-03-29
62,False,2020-04-05
60,False,2020-04-12
58,False,2020-04-19
58,False,2020-04-26
57,False,2020-05-03
59,False,2020-05-10
54,False,2020-05-17
52,False,2020-05-24
47,False,2020-05-31
48,False,2020-06-07
52,False,2020-06-14
53,False,2020-06-21
53,False,2020-06-28
50,False,2020-07-05
51,False,2020-07-12
51,False,2020-07-19
50,False,2020-07-26
50,True,2020-08-02
