sleep anxiety,isPartial,date
90,False,2019-08-11
78,False,2019-08-18
91,False,2019-08-25
68,False,2019-09-01
87,False,2019-09-08
79,False,2019-09-15
76,False,2019-09-22
71,False,2019-09-29
70,False,2019-10-06
68,False,2019-10-13
72,False,2019-10-20
74,False,2019-10-27
70,False,2019-11-03
64,False,2019-11-10
84,False,2019-11-17
64,False,2019-11-24
89,False,2019-12-01
73,False,2019-12-08
74,False,2019-12-15
56,False,2019-12-22
79,False,2019-12-29
96,False,2020-01-05
80,False,2020-01-12
89,False,2020-01-19
77,False,2020-01-26
86,False,2020-02-02
80,False,2020-02-09
84,False,2020-02-16
76,False,2020-02-23
73,False,2020-03-01
67,False,2020-03-08
66,False,2020-03-15
81,False,2020-03-22
83,False,2020-03-29
95,False,2020-04-05
75,False,2020-04-12
97,False,2020-04-19
87,False,2020-04-26
81,False,2020-05-03
92,False,2020-05-10
85,False,2020-05-17
100,False,2020-05-24
78,False,2020-05-31
87,False,2020-06-07
88,False,2020-06-14
87,False,2020-06-21
92,False,2020-06-28
87,False,2020-07-05
88,False,2020-07-12
87,False,2020-07-19
92,False,2020-07-26
99,True,2020-08-02
