Category: All categories

Day,alcohol: (United States)
2019-09-12,36
2019-09-13,38
2019-09-14,47
2019-09-15,48
2019-09-16,35
2019-09-17,35
2019-09-18,35
2019-09-19,35
2019-09-20,39
2019-09-21,48
2019-09-22,47
2019-09-23,35
2019-09-24,35
2019-09-25,35
2019-09-26,36
2019-09-27,40
2019-09-28,49
2019-09-29,48
2019-09-30,36
2019-10-01,35
2019-10-02,35
2019-10-03,37
2019-10-04,39
2019-10-05,44
2019-10-06,46
2019-10-07,35
2019-10-08,33
2019-10-09,36
2019-10-10,36
2019-10-11,38
2019-10-12,47
2019-10-13,47
2019-10-14,36
2019-10-15,35
2019-10-16,36
2019-10-17,38
2019-10-18,39
2019-10-19,48
2019-10-20,46
2019-10-21,38
2019-10-22,38
2019-10-23,36
2019-10-24,37
2019-10-25,40
2019-10-26,46
2019-10-27,47
2019-10-28,36
2019-10-29,36
2019-10-30,35
2019-10-31,36
2019-11-01,41
2019-11-02,45
2019-11-03,45
2019-11-04,38
2019-11-05,37
2019-11-06,35
2019-11-07,37
2019-11-08,39
2019-11-09,46
2019-11-10,48
2019-11-11,36
2019-11-12,35
2019-11-13,35
2019-11-14,37
2019-11-15,38
2019-11-16,47
2019-11-17,48
2019-11-18,38
2019-11-19,34
2019-11-20,36
2019-11-21,36
2019-11-22,38
2019-11-23,46
2019-11-24,46
2019-11-25,37
2019-11-26,35
2019-11-27,38
2019-11-28,48
2019-11-29,39
2019-11-30,42
2019-12-01,40
2019-12-02,34
2019-12-03,36
2019-12-04,36
2019-12-05,36
2019-12-06,40
2019-12-07,47
2019-12-08,45
2019-12-09,36
2019-12-10,35
2019-12-11,38
2019-12-12,39
2019-12-13,39
2019-12-14,50
2019-12-15,47
2019-12-16,36
2019-12-17,36
2019-12-18,36
2019-12-19,37
2019-12-20,42
2019-12-21,47
2019-12-22,51
2019-12-23,44
2019-12-24,50
2019-12-25,62
2019-12-26,44
2019-12-27,41
2019-12-28,49
2019-12-29,49
2019-12-30,45
2019-12-31,64
2020-01-01,77
2020-01-02,44
2020-01-03,42
2020-01-04,45
2020-01-05,44
2020-01-06,37
2020-01-07,36
2020-01-08,37
2020-01-09,41
2020-01-10,39
2020-01-11,47
2020-01-12,47
2020-01-13,38
2020-01-14,35
2020-01-15,36
2020-01-16,37
2020-01-17,40
2020-01-18,47
2020-01-19,46
2020-01-20,41
2020-01-21,35
2020-01-22,35
2020-01-23,36
2020-01-24,39
2020-01-25,50
2020-01-26,46
2020-01-27,36
2020-01-28,37
2020-01-29,38
2020-01-30,37
2020-01-31,41
2020-02-01,49
2020-02-02,53
2020-02-03,35
2020-02-04,34
2020-02-05,33
2020-02-06,38
2020-02-07,41
2020-02-08,48
2020-02-09,47
2020-02-10,36
2020-02-11,37
2020-02-12,37
2020-02-13,37
2020-02-14,39
2020-02-15,47
2020-02-16,51
2020-02-17,38
2020-02-18,37
2020-02-19,37
2020-02-20,38
2020-02-21,40
2020-02-22,46
2020-02-23,49
2020-02-24,40
2020-02-25,39
2020-02-26,39
2020-02-27,40
2020-02-28,42
2020-02-29,51
2020-03-01,55
2020-03-02,44
2020-03-03,44
2020-03-04,48
2020-03-05,52
2020-03-06,57
2020-03-07,69
2020-03-08,66
2020-03-09,57
2020-03-10,59
2020-03-11,62
2020-03-12,74
2020-03-13,76
2020-03-14,86
2020-03-15,78
2020-03-16,63
2020-03-17,61
2020-03-18,59
2020-03-19,62
2020-03-20,64
2020-03-21,72
2020-03-22,70
2020-03-23,58
2020-03-24,55
2020-03-25,54
2020-03-26,57
2020-03-27,62
2020-03-28,79
2020-03-29,100
2020-03-30,89
2020-03-31,75
2020-04-01,76
2020-04-02,73
2020-04-03,68
2020-04-04,73
2020-04-05,67
2020-04-06,58
2020-04-07,58
2020-04-08,56
2020-04-09,55
2020-04-10,58
2020-04-11,61
2020-04-12,57
2020-04-13,49
2020-04-14,50
2020-04-15,47
2020-04-16,50
2020-04-17,52
2020-04-18,58
2020-04-19,55
2020-04-20,46
2020-04-21,46
2020-04-22,48
2020-04-23,49
2020-04-24,54
2020-04-25,57
2020-04-26,56
2020-04-27,47
2020-04-28,46
2020-04-29,46
2020-04-30,48
2020-05-01,48
2020-05-02,56
2020-05-03,57
2020-05-04,45
2020-05-05,49
2020-05-06,45
2020-05-07,43
2020-05-08,45
