Category: All categories

Day,drugs: (United States)
2019-09-12,72
2019-09-13,78
2019-09-14,65
2019-09-15,57
2019-09-16,79
2019-09-17,72
2019-09-18,74
2019-09-19,72
2019-09-20,70
2019-09-21,62
2019-09-22,65
2019-09-23,75
2019-09-24,80
2019-09-25,80
2019-09-26,77
2019-09-27,71
2019-09-28,68
2019-09-29,62
2019-09-30,76
2019-10-01,77
2019-10-02,73
2019-10-03,71
2019-10-04,67
2019-10-05,62
2019-10-06,66
2019-10-07,75
2019-10-08,75
2019-10-09,83
2019-10-10,79
2019-10-11,76
2019-10-12,63
2019-10-13,66
2019-10-14,77
2019-10-15,76
2019-10-16,79
2019-10-17,77
2019-10-18,72
2019-10-19,69
2019-10-20,64
2019-10-21,75
2019-10-22,84
2019-10-23,83
2019-10-24,83
2019-10-25,85
2019-10-26,63
2019-10-27,61
2019-10-28,82
2019-10-29,84
2019-10-30,85
2019-10-31,77
2019-11-01,67
2019-11-02,67
2019-11-03,58
2019-11-04,83
2019-11-05,80
2019-11-06,85
2019-11-07,83
2019-11-08,80
2019-11-09,63
2019-11-10,62
2019-11-11,79
2019-11-12,79
2019-11-13,73
2019-11-14,81
2019-11-15,76
2019-11-16,65
2019-11-17,69
2019-11-18,80
2019-11-19,80
2019-11-20,84
2019-11-21,83
2019-11-22,76
2019-11-23,64
2019-11-24,64
2019-11-25,80
2019-11-26,78
2019-11-27,67
2019-11-28,60
2019-11-29,52
2019-11-30,58
2019-12-01,57
2019-12-02,70
2019-12-03,79
2019-12-04,78
2019-12-05,76
2019-12-06,75
2019-12-07,61
2019-12-08,98
2019-12-09,94
2019-12-10,97
2019-12-11,84
2019-12-12,82
2019-12-13,74
2019-12-14,63
2019-12-15,59
2019-12-16,76
2019-12-17,78
2019-12-18,66
2019-12-19,67
2019-12-20,62
2019-12-21,59
2019-12-22,58
2019-12-23,67
2019-12-24,55
2019-12-25,57
2019-12-26,64
2019-12-27,64
2019-12-28,57
2019-12-29,52
2019-12-30,62
2019-12-31,63
2020-01-01,60
2020-01-02,64
2020-01-03,66
2020-01-04,64
2020-01-05,60
2020-01-06,70
2020-01-07,67
2020-01-08,71
2020-01-09,75
2020-01-10,71
2020-01-11,68
2020-01-12,68
2020-01-13,70
2020-01-14,74
2020-01-15,77
2020-01-16,74
2020-01-17,70
2020-01-18,68
2020-01-19,61
2020-01-20,71
2020-01-21,76
2020-01-22,75
2020-01-23,82
2020-01-24,72
2020-01-25,73
2020-01-26,61
2020-01-27,79
2020-01-28,82
2020-01-29,80
2020-01-30,76
2020-01-31,75
2020-02-01,65
2020-02-02,69
2020-02-03,73
2020-02-04,75
2020-02-05,85
2020-02-06,81
2020-02-07,71
2020-02-08,67
2020-02-09,73
2020-02-10,79
2020-02-11,79
2020-02-12,80
2020-02-13,75
2020-02-14,71
2020-02-15,64
2020-02-16,66
2020-02-17,75
2020-02-18,77
2020-02-19,84
2020-02-20,83
2020-02-21,81
2020-02-22,75
2020-02-23,71
2020-02-24,79
2020-02-25,81
2020-02-26,81
2020-02-27,86
2020-02-28,77
2020-02-29,71
2020-03-01,70
2020-03-02,80
2020-03-03,76
2020-03-04,73
2020-03-05,84
2020-03-06,94
2020-03-07,82
2020-03-08,72
2020-03-09,72
2020-03-10,80
2020-03-11,72
2020-03-12,73
2020-03-13,65
2020-03-14,63
2020-03-15,70
2020-03-16,64
2020-03-17,74
2020-03-18,72
2020-03-19,100
2020-03-20,89
2020-03-21,82
2020-03-22,78
2020-03-23,82
2020-03-24,85
2020-03-25,75
2020-03-26,74
2020-03-27,74
2020-03-28,71
2020-03-29,76
2020-03-30,77
2020-03-31,83
2020-04-01,84
2020-04-02,79
2020-04-03,76
2020-04-04,75
2020-04-05,74
2020-04-06,77
2020-04-07,82
2020-04-08,87
2020-04-09,76
2020-04-10,74
2020-04-11,69
2020-04-12,68
2020-04-13,75
2020-04-14,74
2020-04-15,70
2020-04-16,67
2020-04-17,73
2020-04-18,70
2020-04-19,71
2020-04-20,68
2020-04-21,70
2020-04-22,73
2020-04-23,70
2020-04-24,69
2020-04-25,65
2020-04-26,74
2020-04-27,75
2020-04-28,72
2020-04-29,73
2020-04-30,70
2020-05-01,66
2020-05-02,65
2020-05-03,69
2020-05-04,74
2020-05-05,73
2020-05-06,69
2020-05-07,71
2020-05-08,75
