Category: All categories

Day,reckless: (United States)
2019-09-12,62
2019-09-13,58
2019-09-14,61
2019-09-15,73
2019-09-16,66
2019-09-17,64
2019-09-18,59
2019-09-19,56
2019-09-20,61
2019-09-21,64
2019-09-22,78
2019-09-23,64
2019-09-24,59
2019-09-25,67
2019-09-26,61
2019-09-27,54
2019-09-28,58
2019-09-29,59
2019-09-30,56
2019-10-01,57
2019-10-02,62
2019-10-03,51
2019-10-04,63
2019-10-05,57
2019-10-06,79
2019-10-07,55
2019-10-08,41
2019-10-09,58
2019-10-10,51
2019-10-11,46
2019-10-12,61
2019-10-13,69
2019-10-14,53
2019-10-15,53
2019-10-16,54
2019-10-17,67
2019-10-18,49
2019-10-19,56
2019-10-20,72
2019-10-21,54
2019-10-22,54
2019-10-23,47
2019-10-24,63
2019-10-25,52
2019-10-26,52
2019-10-27,56
2019-10-28,49
2019-10-29,62
2019-10-30,50
2019-10-31,48
2019-11-01,45
2019-11-02,57
2019-11-03,65
2019-11-04,67
2019-11-05,51
2019-11-06,60
2019-11-07,62
2019-11-08,49
2019-11-09,48
2019-11-10,78
2019-11-11,61
2019-11-12,58
2019-11-13,56
2019-11-14,54
2019-11-15,45
2019-11-16,62
2019-11-17,73
2019-11-18,67
2019-11-19,51
2019-11-20,52
2019-11-21,57
2019-11-22,55
2019-11-23,61
2019-11-24,75
2019-11-25,58
2019-11-26,52
2019-11-27,51
2019-11-28,60
2019-11-29,69
2019-11-30,59
2019-12-01,54
2019-12-02,54
2019-12-03,58
2019-12-04,62
2019-12-05,63
2019-12-06,62
2019-12-07,53
2019-12-08,59
2019-12-09,51
2019-12-10,62
2019-12-11,70
2019-12-12,55
2019-12-13,55
2019-12-14,62
2019-12-15,55
2019-12-16,54
2019-12-17,51
2019-12-18,51
2019-12-19,69
2019-12-20,58
2019-12-21,51
2019-12-22,62
2019-12-23,60
2019-12-24,68
2019-12-25,69
2019-12-26,63
2019-12-27,65
2019-12-28,49
2019-12-29,40
2019-12-30,48
2019-12-31,40
2020-01-01,69
2020-01-02,57
2020-01-03,50
2020-01-04,64
2020-01-05,55
2020-01-06,39
2020-01-07,56
2020-01-08,72
2020-01-09,69
2020-01-10,68
2020-01-11,62
2020-01-12,62
2020-01-13,67
2020-01-14,63
2020-01-15,60
2020-01-16,47
2020-01-17,61
2020-01-18,59
2020-01-19,62
2020-01-20,45
2020-01-21,61
2020-01-22,49
2020-01-23,54
2020-01-24,56
2020-01-25,57
2020-01-26,47
2020-01-27,58
2020-01-28,58
2020-01-29,50
2020-01-30,52
2020-01-31,59
2020-02-01,62
2020-02-02,73
2020-02-03,50
2020-02-04,49
2020-02-05,61
2020-02-06,53
2020-02-07,55
2020-02-08,60
2020-02-09,59
2020-02-10,62
2020-02-11,59
2020-02-12,66
2020-02-13,60
2020-02-14,65
2020-02-15,60
2020-02-16,80
2020-02-17,66
2020-02-18,60
2020-02-19,69
2020-02-20,68
2020-02-21,67
2020-02-22,59
2020-02-23,62
2020-02-24,66
2020-02-25,54
2020-02-26,55
2020-02-27,49
2020-02-28,63
2020-02-29,67
2020-03-01,71
2020-03-02,66
2020-03-03,46
2020-03-04,65
2020-03-05,75
2020-03-06,55
2020-03-07,60
2020-03-08,100
2020-03-09,71
2020-03-10,58
2020-03-11,57
2020-03-12,38
2020-03-13,42
2020-03-14,43
2020-03-15,68
2020-03-16,44
2020-03-17,53
2020-03-18,48
2020-03-19,51
2020-03-20,44
2020-03-21,41
2020-03-22,56
2020-03-23,44
2020-03-24,67
2020-03-25,48
2020-03-26,48
2020-03-27,49
2020-03-28,57
2020-03-29,73
2020-03-30,55
2020-03-31,50
2020-04-01,50
2020-04-02,48
2020-04-03,50
2020-04-04,41
2020-04-05,67
2020-04-06,50
2020-04-07,55
2020-04-08,56
2020-04-09,48
2020-04-10,47
2020-04-11,65
2020-04-12,67
2020-04-13,51
2020-04-14,53
2020-04-15,42
2020-04-16,40
2020-04-17,43
2020-04-18,58
2020-04-19,61
2020-04-20,55
2020-04-21,51
2020-04-22,50
2020-04-23,48
2020-04-24,45
2020-04-25,44
2020-04-26,59
2020-04-27,60
2020-04-28,45
2020-04-29,53
2020-04-30,53
2020-05-01,50
2020-05-02,59
2020-05-03,68
2020-05-04,49
2020-05-05,53
2020-05-06,62
2020-05-07,43
2020-05-08,37
