Category: All categories

Day,hopeless: (United States)
2019-09-12,20
2019-09-13,32
2019-09-14,40
2019-09-15,38
2019-09-16,35
2019-09-17,32
2019-09-18,32
2019-09-19,33
2019-09-20,46
2019-09-21,24
2019-09-22,26
2019-09-23,44
2019-09-24,27
2019-09-25,25
2019-09-26,26
2019-09-27,39
2019-09-28,47
2019-09-29,48
2019-09-30,33
2019-10-01,18
2019-10-02,40
2019-10-03,18
2019-10-04,31
2019-10-05,12
2019-10-06,21
2019-10-07,28
2019-10-08,20
2019-10-09,39
2019-10-10,81
2019-10-11,52
2019-10-12,31
2019-10-13,45
2019-10-14,18
2019-10-15,28
2019-10-16,30
2019-10-17,30
2019-10-18,23
2019-10-19,21
2019-10-20,41
2019-10-21,34
2019-10-22,43
2019-10-23,35
2019-10-24,34
2019-10-25,44
2019-10-26,9
2019-10-27,18
2019-10-28,22
2019-10-29,37
2019-10-30,17
2019-10-31,20
2019-11-01,32
2019-11-02,27
2019-11-03,38
2019-11-04,33
2019-11-05,35
2019-11-06,29
2019-11-07,32
2019-11-08,40
2019-11-09,30
2019-11-10,20
2019-11-11,43
2019-11-12,31
2019-11-13,32
2019-11-14,29
2019-11-15,42
2019-11-16,38
2019-11-17,31
2019-11-18,46
2019-11-19,35
2019-11-20,28
2019-11-21,28
2019-11-22,26
2019-11-23,14
2019-11-24,23
2019-11-25,33
2019-11-26,28
2019-11-27,37
2019-11-28,26
2019-11-29,33
2019-11-30,28
2019-12-01,30
2019-12-02,21
2019-12-03,36
2019-12-04,20
2019-12-05,44
2019-12-06,22
2019-12-07,29
2019-12-08,34
2019-12-09,32
2019-12-10,28
2019-12-11,27
2019-12-12,35
2019-12-13,22
2019-12-14,38
2019-12-15,21
2019-12-16,25
2019-12-17,23
2019-12-18,30
2019-12-19,31
2019-12-20,24
2019-12-21,28
2019-12-22,30
2019-12-23,19
2019-12-24,29
2019-12-25,10
2019-12-26,18
2019-12-27,27
2019-12-28,24
2019-12-29,32
2019-12-30,34
2019-12-31,28
2020-01-01,42
2020-01-02,39
2020-01-03,18
2020-01-04,22
2020-01-05,31
2020-01-06,20
2020-01-07,40
2020-01-08,12
2020-01-09,20
2020-01-10,29
2020-01-11,25
2020-01-12,46
2020-01-13,43
2020-01-14,36
2020-01-15,26
2020-01-16,24
2020-01-17,27
2020-01-18,22
2020-01-19,38
2020-01-20,56
2020-01-21,15
2020-01-22,46
2020-01-23,46
2020-01-24,46
2020-01-25,26
2020-01-26,36
2020-01-27,50
2020-01-28,33
2020-01-29,27
2020-01-30,45
2020-01-31,39
2020-02-01,28
2020-02-02,17
2020-02-03,15
2020-02-04,29
2020-02-05,36
2020-02-06,36
2020-02-07,37
2020-02-08,36
2020-02-09,25
2020-02-10,49
2020-02-11,35
2020-02-12,16
2020-02-13,36
2020-02-14,67
2020-02-15,42
2020-02-16,28
2020-02-17,38
2020-02-18,51
2020-02-19,47
2020-02-20,49
2020-02-21,59
2020-02-22,22
2020-02-23,43
2020-02-24,23
2020-02-25,48
2020-02-26,36
2020-02-27,48
2020-02-28,35
2020-02-29,24
2020-03-01,30
2020-03-02,52
2020-03-03,29
2020-03-04,31
2020-03-05,23
2020-03-06,16
2020-03-07,27
2020-03-08,38
2020-03-09,51
2020-03-10,20
2020-03-11,11
2020-03-12,31
2020-03-13,25
2020-03-14,32
2020-03-15,40
2020-03-16,25
2020-03-17,25
2020-03-18,14
2020-03-19,32
2020-03-20,44
2020-03-21,44
2020-03-22,36
2020-03-23,50
2020-03-24,50
2020-03-25,38
2020-03-26,42
2020-03-27,54
2020-03-28,50
2020-03-29,27
2020-03-30,39
2020-03-31,37
2020-04-01,50
2020-04-02,53
2020-04-03,28
2020-04-04,52
2020-04-05,32
2020-04-06,43
2020-04-07,24
2020-04-08,37
2020-04-09,30
2020-04-10,29
2020-04-11,40
2020-04-12,43
2020-04-13,44
2020-04-14,40
2020-04-15,100
2020-04-16,23
2020-04-17,31
2020-04-18,26
2020-04-19,46
2020-04-20,33
2020-04-21,27
2020-04-22,25
2020-04-23,31
2020-04-24,37
2020-04-25,45
2020-04-26,61
2020-04-27,19
2020-04-28,36
2020-04-29,36
2020-04-30,50
2020-05-01,34
2020-05-02,47
2020-05-03,28
2020-05-04,21
2020-05-05,34
2020-05-06,38
2020-05-07,26
2020-05-08,36
