Category: All categories

Day,unbearable: (United States)
2019-09-12,34
2019-09-13,34
2019-09-14,33
2019-09-15,44
2019-09-16,57
2019-09-17,37
2019-09-18,45
2019-09-19,27
2019-09-20,46
2019-09-21,27
2019-09-22,40
2019-09-23,49
2019-09-24,38
2019-09-25,38
2019-09-26,31
2019-09-27,31
2019-09-28,43
2019-09-29,28
2019-09-30,42
2019-10-01,58
2019-10-02,19
2019-10-03,39
2019-10-04,28
2019-10-05,23
2019-10-06,37
2019-10-07,27
2019-10-08,43
2019-10-09,24
2019-10-10,47
2019-10-11,24
2019-10-12,52
2019-10-13,18
2019-10-14,27
2019-10-15,46
2019-10-16,39
2019-10-17,16
2019-10-18,43
2019-10-19,28
2019-10-20,44
2019-10-21,41
2019-10-22,7
2019-10-23,34
2019-10-24,45
2019-10-25,39
2019-10-26,34
2019-10-27,32
2019-10-28,26
2019-10-29,45
2019-10-30,26
2019-10-31,35
2019-11-01,24
2019-11-02,37
2019-11-03,27
2019-11-04,50
2019-11-05,57
2019-11-06,26
2019-11-07,38
2019-11-08,23
2019-11-09,18
2019-11-10,53
2019-11-11,30
2019-11-12,33
2019-11-13,22
2019-11-14,45
2019-11-15,45
2019-11-16,89
2019-11-17,100
2019-11-18,56
2019-11-19,45
2019-11-20,46
2019-11-21,27
2019-11-22,50
2019-11-23,53
2019-11-24,35
2019-11-25,27
2019-11-26,24
2019-11-27,45
2019-11-28,26
2019-11-29,29
2019-11-30,39
2019-12-01,59
2019-12-02,14
2019-12-03,33
2019-12-04,38
2019-12-05,56
2019-12-06,27
2019-12-07,49
2019-12-08,52
2019-12-09,38
2019-12-10,8
2019-12-11,38
2019-12-12,34
2019-12-13,45
2019-12-14,18
2019-12-15,27
2019-12-16,52
2019-12-17,38
2019-12-18,31
2019-12-19,31
2019-12-20,33
2019-12-21,46
2019-12-22,33
2019-12-23,47
2019-12-24,36
2019-12-25,36
2019-12-26,27
2019-12-27,54
2019-12-28,45
2019-12-29,39
2019-12-30,40
2019-12-31,43
2020-01-01,41
2020-01-02,44
2020-01-03,23
2020-01-04,60
2020-01-05,38
2020-01-06,26
2020-01-07,68
2020-01-08,34
2020-01-09,49
2020-01-10,26
2020-01-11,30
2020-01-12,29
2020-01-13,28
2020-01-14,20
2020-01-15,39
2020-01-16,55
2020-01-17,42
2020-01-18,39
2020-01-19,17
2020-01-20,27
2020-01-21,60
2020-01-22,48
2020-01-23,41
2020-01-24,19
2020-01-25,52
2020-01-26,55
2020-01-27,49
2020-01-28,51
2020-01-29,18
2020-01-30,22
2020-01-31,37
2020-02-01,35
2020-02-02,30
2020-02-03,37
2020-02-04,73
2020-02-05,29
2020-02-06,33
2020-02-07,56
2020-02-08,30
2020-02-09,39
2020-02-10,39
2020-02-11,35
2020-02-12,61
2020-02-13,44
2020-02-14,27
2020-02-15,17
2020-02-16,47
2020-02-17,31
2020-02-18,35
2020-02-19,25
2020-02-20,67
2020-02-21,29
2020-02-22,54
2020-02-23,46
2020-02-24,53
2020-02-25,53
2020-02-26,34
2020-02-27,38
2020-02-28,39
2020-02-29,24
2020-03-01,25
2020-03-02,31
2020-03-03,28
2020-03-04,34
2020-03-05,24
2020-03-06,32
2020-03-07,12
2020-03-08,46
2020-03-09,32
2020-03-10,31
2020-03-11,31
2020-03-12,27
2020-03-13,31
2020-03-14,33
2020-03-15,32
2020-03-16,62
2020-03-17,10
2020-03-18,21
2020-03-19,42
2020-03-20,27
2020-03-21,19
2020-03-22,39
2020-03-23,38
2020-03-24,34
2020-03-25,45
2020-03-26,28
2020-03-27,33
2020-03-28,23
2020-03-29,19
2020-03-30,20
2020-03-31,36
2020-04-01,79
2020-04-02,33
2020-04-03,20
2020-04-04,30
2020-04-05,61
2020-04-06,26
2020-04-07,47
2020-04-08,46
2020-04-09,33
2020-04-10,45
2020-04-11,46
2020-04-12,31
2020-04-13,39
2020-04-14,35
2020-04-15,28
2020-04-16,29
2020-04-17,44
2020-04-18,44
2020-04-19,67
2020-04-20,38
2020-04-21,48
2020-04-22,42
2020-04-23,38
2020-04-24,29
2020-04-25,47
2020-04-26,37
2020-04-27,26
2020-04-28,36
2020-04-29,23
2020-04-30,33
2020-05-01,43
2020-05-02,45
2020-05-03,35
2020-05-04,48
2020-05-05,61
2020-05-06,42
2020-05-07,53
2020-05-08,26
