Category: All categories

Day,gun: (United States)
2019-09-12,41
2019-09-13,47
2019-09-14,52
2019-09-15,50
2019-09-16,41
2019-09-17,42
2019-09-18,43
2019-09-19,46
2019-09-20,45
2019-09-21,55
2019-09-22,50
2019-09-23,43
2019-09-24,40
2019-09-25,42
2019-09-26,42
2019-09-27,43
2019-09-28,51
2019-09-29,47
2019-09-30,40
2019-10-01,40
2019-10-02,41
2019-10-03,43
2019-10-04,43
2019-10-05,50
2019-10-06,47
2019-10-07,43
2019-10-08,41
2019-10-09,40
2019-10-10,39
2019-10-11,43
2019-10-12,51
2019-10-13,49
2019-10-14,41
2019-10-15,42
2019-10-16,45
2019-10-17,44
2019-10-18,46
2019-10-19,53
2019-10-20,49
2019-10-21,42
2019-10-22,44
2019-10-23,42
2019-10-24,44
2019-10-25,45
2019-10-26,55
2019-10-27,49
2019-10-28,41
2019-10-29,42
2019-10-30,42
2019-10-31,42
2019-11-01,44
2019-11-02,53
2019-11-03,49
2019-11-04,43
2019-11-05,44
2019-11-06,45
2019-11-07,46
2019-11-08,48
2019-11-09,54
2019-11-10,52
2019-11-11,46
2019-11-12,46
2019-11-13,45
2019-11-14,49
2019-11-15,48
2019-11-16,57
2019-11-17,55
2019-11-18,49
2019-11-19,48
2019-11-20,48
2019-11-21,49
2019-11-22,53
2019-11-23,58
2019-11-24,58
2019-11-25,49
2019-11-26,49
2019-11-27,53
2019-11-28,58
2019-11-29,69
2019-11-30,62
2019-12-01,57
2019-12-02,52
2019-12-03,49
2019-12-04,50
2019-12-05,49
2019-12-06,50
2019-12-07,56
2019-12-08,55
2019-12-09,48
2019-12-10,49
2019-12-11,51
2019-12-12,48
2019-12-13,51
2019-12-14,61
2019-12-15,58
2019-12-16,62
2019-12-17,62
2019-12-18,60
2019-12-19,57
2019-12-20,56
2019-12-21,66
2019-12-22,60
2019-12-23,55
2019-12-24,55
2019-12-25,65
2019-12-26,61
2019-12-27,59
2019-12-28,65
2019-12-29,61
2019-12-30,60
2019-12-31,62
2020-01-01,61
2020-01-02,56
2020-01-03,57
2020-01-04,63
2020-01-05,59
2020-01-06,47
2020-01-07,48
2020-01-08,48
2020-01-09,50
2020-01-10,52
2020-01-11,62
2020-01-12,58
2020-01-13,47
2020-01-14,48
2020-01-15,49
2020-01-16,52
2020-01-17,55
2020-01-18,67
2020-01-19,63
2020-01-20,85
2020-01-21,62
2020-01-22,50
2020-01-23,50
2020-01-24,52
2020-01-25,62
2020-01-26,53
2020-01-27,42
2020-01-28,46
2020-01-29,45
2020-01-30,48
2020-01-31,49
2020-02-01,59
2020-02-02,59
2020-02-03,44
2020-02-04,45
2020-02-05,45
2020-02-06,48
2020-02-07,53
2020-02-08,57
2020-02-09,57
2020-02-10,46
2020-02-11,46
2020-02-12,47
2020-02-13,50
2020-02-14,50
2020-02-15,57
2020-02-16,54
2020-02-17,51
2020-02-18,51
2020-02-19,49
2020-02-20,48
2020-02-21,49
2020-02-22,59
2020-02-23,57
2020-02-24,47
2020-02-25,45
2020-02-26,48
2020-02-27,49
2020-02-28,50
2020-02-29,59
2020-03-01,56
2020-03-02,45
2020-03-03,47
2020-03-04,47
2020-03-05,46
2020-03-06,50
2020-03-07,60
2020-03-08,55
2020-03-09,44
2020-03-10,46
2020-03-11,46
2020-03-12,46
2020-03-13,54
2020-03-14,79
2020-03-15,70
2020-03-16,68
2020-03-17,71
2020-03-18,79
2020-03-19,82
2020-03-20,85
2020-03-21,100
2020-03-22,84
2020-03-23,75
2020-03-24,68
2020-03-25,62
2020-03-26,61
2020-03-27,60
2020-03-28,71
2020-03-29,66
2020-03-30,55
2020-03-31,55
2020-04-01,55
2020-04-02,56
2020-04-03,58
2020-04-04,70
2020-04-05,62
2020-04-06,51
2020-04-07,52
2020-04-08,49
2020-04-09,49
2020-04-10,59
2020-04-11,59
2020-04-12,62
2020-04-13,52
2020-04-14,51
2020-04-15,59
2020-04-16,57
2020-04-17,57
2020-04-18,70
2020-04-19,65
2020-04-20,53
2020-04-21,52
2020-04-22,54
2020-04-23,53
2020-04-24,56
2020-04-25,61
2020-04-26,60
2020-04-27,52
2020-04-28,52
2020-04-29,53
2020-04-30,52
2020-05-01,58
2020-05-02,68
2020-05-03,61
2020-05-04,50
2020-05-05,50
2020-05-06,52
2020-05-07,53
2020-05-08,55
