Category: All categories

Day,drug: (United States)
2019-09-12,65
2019-09-13,62
2019-09-14,54
2019-09-15,50
2019-09-16,64
2019-09-17,67
2019-09-18,67
2019-09-19,67
2019-09-20,57
2019-09-21,55
2019-09-22,51
2019-09-23,65
2019-09-24,67
2019-09-25,67
2019-09-26,68
2019-09-27,64
2019-09-28,54
2019-09-29,52
2019-09-30,65
2019-10-01,68
2019-10-02,68
2019-10-03,67
2019-10-04,60
2019-10-05,49
2019-10-06,48
2019-10-07,63
2019-10-08,66
2019-10-09,69
2019-10-10,67
2019-10-11,60
2019-10-12,50
2019-10-13,49
2019-10-14,65
2019-10-15,66
2019-10-16,68
2019-10-17,68
2019-10-18,65
2019-10-19,54
2019-10-20,49
2019-10-21,71
2019-10-22,74
2019-10-23,74
2019-10-24,73
2019-10-25,68
2019-10-26,60
2019-10-27,48
2019-10-28,69
2019-10-29,66
2019-10-30,68
2019-10-31,64
2019-11-01,60
2019-11-02,51
2019-11-03,50
2019-11-04,66
2019-11-05,73
2019-11-06,76
2019-11-07,70
2019-11-08,66
2019-11-09,52
2019-11-10,51
2019-11-11,61
2019-11-12,66
2019-11-13,66
2019-11-14,67
2019-11-15,65
2019-11-16,51
2019-11-17,50
2019-11-18,65
2019-11-19,67
2019-11-20,72
2019-11-21,69
2019-11-22,63
2019-11-23,53
2019-11-24,49
2019-11-25,65
2019-11-26,62
2019-11-27,57
2019-11-28,45
2019-11-29,43
2019-11-30,44
2019-12-01,45
2019-12-02,59
2019-12-03,65
2019-12-04,66
2019-12-05,68
2019-12-06,63
2019-12-07,51
2019-12-08,49
2019-12-09,64
2019-12-10,67
2019-12-11,66
2019-12-12,68
2019-12-13,62
2019-12-14,49
2019-12-15,49
2019-12-16,59
2019-12-17,64
2019-12-18,62
2019-12-19,58
2019-12-20,56
2019-12-21,47
2019-12-22,44
2019-12-23,52
2019-12-24,50
2019-12-25,46
2019-12-26,49
2019-12-27,53
2019-12-28,46
2019-12-29,45
2019-12-30,56
2019-12-31,56
2020-01-01,49
2020-01-02,62
2020-01-03,60
2020-01-04,50
2020-01-05,45
2020-01-06,61
2020-01-07,64
2020-01-08,64
2020-01-09,67
2020-01-10,63
2020-01-11,54
2020-01-12,48
2020-01-13,61
2020-01-14,65
2020-01-15,66
2020-01-16,66
2020-01-17,63
2020-01-18,53
2020-01-19,50
2020-01-20,58
2020-01-21,65
2020-01-22,65
2020-01-23,69
2020-01-24,64
2020-01-25,53
2020-01-26,48
2020-01-27,63
2020-01-28,66
2020-01-29,66
2020-01-30,70
2020-01-31,61
2020-02-01,54
2020-02-02,51
2020-02-03,62
2020-02-04,68
2020-02-05,69
2020-02-06,69
2020-02-07,69
2020-02-08,58
2020-02-09,54
2020-02-10,69
2020-02-11,67
2020-02-12,69
2020-02-13,67
2020-02-14,63
2020-02-15,56
2020-02-16,56
2020-02-17,64
2020-02-18,67
2020-02-19,75
2020-02-20,70
2020-02-21,65
2020-02-22,56
2020-02-23,56
2020-02-24,67
2020-02-25,70
2020-02-26,70
2020-02-27,71
2020-02-28,70
2020-02-29,57
2020-03-01,55
2020-03-02,67
2020-03-03,71
2020-03-04,67
2020-03-05,70
2020-03-06,67
2020-03-07,58
2020-03-08,55
2020-03-09,66
2020-03-10,66
2020-03-11,64
2020-03-12,58
2020-03-13,58
2020-03-14,49
2020-03-15,47
2020-03-16,53
2020-03-17,55
2020-03-18,57
2020-03-19,100
2020-03-20,75
2020-03-21,63
2020-03-22,59
2020-03-23,70
2020-03-24,72
2020-03-25,68
2020-03-26,61
2020-03-27,58
2020-03-28,52
2020-03-29,53
2020-03-30,61
2020-03-31,60
2020-04-01,63
2020-04-02,66
2020-04-03,57
2020-04-04,58
2020-04-05,60
2020-04-06,65
2020-04-07,70
2020-04-08,65
2020-04-09,61
2020-04-10,57
2020-04-11,53
2020-04-12,52
2020-04-13,56
2020-04-14,57
2020-04-15,54
2020-04-16,54
2020-04-17,62
2020-04-18,52
2020-04-19,51
2020-04-20,57
2020-04-21,55
2020-04-22,58
2020-04-23,56
2020-04-24,53
2020-04-25,49
2020-04-26,47
2020-04-27,52
2020-04-28,54
2020-04-29,66
2020-04-30,65
2020-05-01,54
2020-05-02,53
2020-05-03,49
2020-05-04,54
2020-05-05,57
2020-05-06,56
2020-05-07,55
2020-05-08,51
