Category: All categories

Day,Selective serotonin reuptake inhibitor: (United States)
2019-09-12,72
2019-09-13,58
2019-09-14,63
2019-09-15,51
2019-09-16,63
2019-09-17,73
2019-09-18,80
2019-09-19,55
2019-09-20,69
2019-09-21,49
2019-09-22,52
2019-09-23,47
2019-09-24,66
2019-09-25,67
2019-09-26,87
2019-09-27,61
2019-09-28,48
2019-09-29,37
2019-09-30,57
2019-10-01,64
2019-10-02,85
2019-10-03,83
2019-10-04,61
2019-10-05,47
2019-10-06,55
2019-10-07,74
2019-10-08,61
2019-10-09,81
2019-10-10,63
2019-10-11,73
2019-10-12,58
2019-10-13,50
2019-10-14,75
2019-10-15,63
2019-10-16,79
2019-10-17,87
2019-10-18,42
2019-10-19,58
2019-10-20,50
2019-10-21,58
2019-10-22,73
2019-10-23,77
2019-10-24,56
2019-10-25,51
2019-10-26,54
2019-10-27,36
2019-10-28,88
2019-10-29,75
2019-10-30,57
2019-10-31,59
2019-11-01,74
2019-11-02,58
2019-11-03,63
2019-11-04,70
2019-11-05,75
2019-11-06,72
2019-11-07,67
2019-11-08,63
2019-11-09,41
2019-11-10,59
2019-11-11,57
2019-11-12,74
2019-11-13,73
2019-11-14,68
2019-11-15,70
2019-11-16,49
2019-11-17,45
2019-11-18,86
2019-11-19,90
2019-11-20,75
2019-11-21,67
2019-11-22,76
2019-11-23,53
2019-11-24,65
2019-11-25,62
2019-11-26,63
2019-11-27,71
2019-11-28,43
2019-11-29,53
2019-11-30,49
2019-12-01,53
2019-12-02,90
2019-12-03,64
2019-12-04,80
2019-12-05,76
2019-12-06,70
2019-12-07,55
2019-12-08,60
2019-12-09,91
2019-12-10,59
2019-12-11,51
2019-12-12,80
2019-12-13,51
2019-12-14,62
2019-12-15,36
2019-12-16,70
2019-12-17,60
2019-12-18,63
2019-12-19,62
2019-12-20,53
2019-12-21,42
2019-12-22,34
2019-12-23,57
2019-12-24,47
2019-12-25,31
2019-12-26,35
2019-12-27,43
2019-12-28,35
2019-12-29,48
2019-12-30,50
2019-12-31,68
2020-01-01,34
2020-01-02,50
2020-01-03,50
2020-01-04,46
2020-01-05,60
2020-01-06,69
2020-01-07,61
2020-01-08,73
2020-01-09,47
2020-01-10,69
2020-01-11,67
2020-01-12,55
2020-01-13,85
2020-01-14,63
2020-01-15,57
2020-01-16,84
2020-01-17,56
2020-01-18,58
2020-01-19,55
2020-01-20,69
2020-01-21,59
2020-01-22,68
2020-01-23,66
2020-01-24,45
2020-01-25,44
2020-01-26,48
2020-01-27,80
2020-01-28,76
2020-01-29,57
2020-01-30,68
2020-01-31,55
2020-02-01,54
2020-02-02,53
2020-02-03,67
2020-02-04,79
2020-02-05,73
2020-02-06,61
2020-02-07,75
2020-02-08,51
2020-02-09,59
2020-02-10,60
2020-02-11,70
2020-02-12,65
2020-02-13,83
2020-02-14,44
2020-02-15,47
2020-02-16,46
2020-02-17,64
2020-02-18,74
2020-02-19,76
2020-02-20,68
2020-02-21,62
2020-02-22,58
2020-02-23,78
2020-02-24,72
2020-02-25,73
2020-02-26,70
2020-02-27,70
2020-02-28,70
2020-02-29,64
2020-03-01,65
2020-03-02,57
2020-03-03,73
2020-03-04,81
2020-03-05,83
2020-03-06,57
2020-03-07,52
2020-03-08,64
2020-03-09,63
2020-03-10,92
2020-03-11,64
2020-03-12,50
2020-03-13,45
2020-03-14,43
2020-03-15,28
2020-03-16,45
2020-03-17,33
2020-03-18,51
2020-03-19,53
2020-03-20,50
2020-03-21,40
2020-03-22,50
2020-03-23,34
2020-03-24,54
2020-03-25,38
2020-03-26,59
2020-03-27,48
2020-03-28,42
2020-03-29,43
2020-03-30,40
2020-03-31,45
2020-04-01,45
2020-04-02,59
2020-04-03,52
2020-04-04,34
2020-04-05,58
2020-04-06,47
2020-04-07,71
2020-04-08,44
2020-04-09,51
2020-04-10,43
2020-04-11,29
2020-04-12,53
2020-04-13,57
2020-04-14,47
2020-04-15,100
2020-04-16,74
2020-04-17,70
2020-04-18,47
2020-04-19,60
2020-04-20,56
2020-04-21,61
2020-04-22,63
2020-04-23,79
2020-04-24,56
2020-04-25,46
2020-04-26,52
2020-04-27,63
2020-04-28,48
2020-04-29,69
2020-04-30,62
2020-05-01,53
2020-05-02,52
2020-05-03,44
2020-05-04,67
2020-05-05,55
2020-05-06,60
2020-05-07,65
2020-05-08,39
