Category: All categories

Day,prozac: (United States)
2019-09-12,53
2019-09-13,42
2019-09-14,40
2019-09-15,37
2019-09-16,66
2019-09-17,50
2019-09-18,61
2019-09-19,57
2019-09-20,54
2019-09-21,37
2019-09-22,49
2019-09-23,55
2019-09-24,55
2019-09-25,64
2019-09-26,53
2019-09-27,54
2019-09-28,44
2019-09-29,42
2019-09-30,49
2019-10-01,48
2019-10-02,64
2019-10-03,56
2019-10-04,51
2019-10-05,49
2019-10-06,37
2019-10-07,53
2019-10-08,58
2019-10-09,63
2019-10-10,51
2019-10-11,47
2019-10-12,47
2019-10-13,45
2019-10-14,56
2019-10-15,50
2019-10-16,65
2019-10-17,56
2019-10-18,49
2019-10-19,56
2019-10-20,43
2019-10-21,56
2019-10-22,54
2019-10-23,51
2019-10-24,55
2019-10-25,55
2019-10-26,44
2019-10-27,49
2019-10-28,58
2019-10-29,57
2019-10-30,61
2019-10-31,52
2019-11-01,54
2019-11-02,52
2019-11-03,42
2019-11-04,51
2019-11-05,67
2019-11-06,61
2019-11-07,59
2019-11-08,59
2019-11-09,41
2019-11-10,38
2019-11-11,45
2019-11-12,45
2019-11-13,58
2019-11-14,58
2019-11-15,56
2019-11-16,46
2019-11-17,39
2019-11-18,52
2019-11-19,53
2019-11-20,62
2019-11-21,62
2019-11-22,55
2019-11-23,46
2019-11-24,43
2019-11-25,51
2019-11-26,60
2019-11-27,53
2019-11-28,43
2019-11-29,41
2019-11-30,33
2019-12-01,42
2019-12-02,39
2019-12-03,52
2019-12-04,54
2019-12-05,58
2019-12-06,49
2019-12-07,47
2019-12-08,32
2019-12-09,54
2019-12-10,50
2019-12-11,50
2019-12-12,53
2019-12-13,52
2019-12-14,41
2019-12-15,49
2019-12-16,48
2019-12-17,50
2019-12-18,49
2019-12-19,51
2019-12-20,45
2019-12-21,45
2019-12-22,36
2019-12-23,57
2019-12-24,43
2019-12-25,33
2019-12-26,48
2019-12-27,52
2019-12-28,47
2019-12-29,42
2019-12-30,55
2019-12-31,41
2020-01-01,37
2020-01-02,56
2020-01-03,50
2020-01-04,45
2020-01-05,48
2020-01-06,53
2020-01-07,100
2020-01-08,99
2020-01-09,72
2020-01-10,39
2020-01-11,45
2020-01-12,55
2020-01-13,63
2020-01-14,52
2020-01-15,62
2020-01-16,61
2020-01-17,57
2020-01-18,37
2020-01-19,50
2020-01-20,51
2020-01-21,55
2020-01-22,52
2020-01-23,60
2020-01-24,66
2020-01-25,48
2020-01-26,36
2020-01-27,60
2020-01-28,65
2020-01-29,54
2020-01-30,63
2020-01-31,57
2020-02-01,48
2020-02-02,40
2020-02-03,60
2020-02-04,57
2020-02-05,53
2020-02-06,54
2020-02-07,60
2020-02-08,51
2020-02-09,40
2020-02-10,56
2020-02-11,52
2020-02-12,59
2020-02-13,47
2020-02-14,55
2020-02-15,44
2020-02-16,40
2020-02-17,60
2020-02-18,57
2020-02-19,64
2020-02-20,62
2020-02-21,54
2020-02-22,41
2020-02-23,47
2020-02-24,59
2020-02-25,61
2020-02-26,60
2020-02-27,64
2020-02-28,43
2020-02-29,44
2020-03-01,44
2020-03-02,51
2020-03-03,55
2020-03-04,52
2020-03-05,52
2020-03-06,55
2020-03-07,48
2020-03-08,44
2020-03-09,59
2020-03-10,56
2020-03-11,50
2020-03-12,38
2020-03-13,40
2020-03-14,43
2020-03-15,32
2020-03-16,43
2020-03-17,35
2020-03-18,39
2020-03-19,45
2020-03-20,40
2020-03-21,48
2020-03-22,36
2020-03-23,40
2020-03-24,40
2020-03-25,43
2020-03-26,42
2020-03-27,33
2020-03-28,40
2020-03-29,37
2020-03-30,35
2020-03-31,41
2020-04-01,36
2020-04-02,40
2020-04-03,42
2020-04-04,36
2020-04-05,33
2020-04-06,40
2020-04-07,43
2020-04-08,39
2020-04-09,47
2020-04-10,39
2020-04-11,42
2020-04-12,31
2020-04-13,41
2020-04-14,44
2020-04-15,45
2020-04-16,53
2020-04-17,38
2020-04-18,49
2020-04-19,37
2020-04-20,36
2020-04-21,44
2020-04-22,44
2020-04-23,37
2020-04-24,48
2020-04-25,40
2020-04-26,43
2020-04-27,41
2020-04-28,42
2020-04-29,49
2020-04-30,44
2020-05-01,40
2020-05-02,35
2020-05-03,45
2020-05-04,46
2020-05-05,46
2020-05-06,57
2020-05-07,51
2020-05-08,41
