Category: All categories

Day,Lightheadedness: (United States)
2019-09-12,70
2019-09-13,59
2019-09-14,67
2019-09-15,66
2019-09-16,69
2019-09-17,75
2019-09-18,64
2019-09-19,65
2019-09-20,60
2019-09-21,70
2019-09-22,63
2019-09-23,75
2019-09-24,59
2019-09-25,73
2019-09-26,70
2019-09-27,71
2019-09-28,65
2019-09-29,61
2019-09-30,79
2019-10-01,64
2019-10-02,78
2019-10-03,72
2019-10-04,64
2019-10-05,49
2019-10-06,70
2019-10-07,72
2019-10-08,70
2019-10-09,69
2019-10-10,71
2019-10-11,62
2019-10-12,59
2019-10-13,55
2019-10-14,64
2019-10-15,72
2019-10-16,58
2019-10-17,81
2019-10-18,62
2019-10-19,60
2019-10-20,60
2019-10-21,56
2019-10-22,67
2019-10-23,65
2019-10-24,71
2019-10-25,56
2019-10-26,71
2019-10-27,56
2019-10-28,58
2019-10-29,58
2019-10-30,74
2019-10-31,60
2019-11-01,43
2019-11-02,63
2019-11-03,59
2019-11-04,54
2019-11-05,79
2019-11-06,70
2019-11-07,68
2019-11-08,64
2019-11-09,62
2019-11-10,61
2019-11-11,79
2019-11-12,73
2019-11-13,69
2019-11-14,67
2019-11-15,66
2019-11-16,78
2019-11-17,55
2019-11-18,72
2019-11-19,60
2019-11-20,61
2019-11-21,65
2019-11-22,72
2019-11-23,58
2019-11-24,55
2019-11-25,72
2019-11-26,63
2019-11-27,63
2019-11-28,44
2019-11-29,51
2019-11-30,46
2019-12-01,53
2019-12-02,58
2019-12-03,72
2019-12-04,62
2019-12-05,72
2019-12-06,57
2019-12-07,56
2019-12-08,70
2019-12-09,63
2019-12-10,83
2019-12-11,76
2019-12-12,74
2019-12-13,53
2019-12-14,65
2019-12-15,62
2019-12-16,71
2019-12-17,63
2019-12-18,70
2019-12-19,53
2019-12-20,57
2019-12-21,65
2019-12-22,56
2019-12-23,59
2019-12-24,72
2019-12-25,47
2019-12-26,62
2019-12-27,81
2019-12-28,73
2019-12-29,69
2019-12-30,76
2019-12-31,71
2020-01-01,63
2020-01-02,86
2020-01-03,91
2020-01-04,83
2020-01-05,66
2020-01-06,65
2020-01-07,73
2020-01-08,68
2020-01-09,75
2020-01-10,62
2020-01-11,55
2020-01-12,68
2020-01-13,59
2020-01-14,64
2020-01-15,73
2020-01-16,75
2020-01-17,70
2020-01-18,57
2020-01-19,63
2020-01-20,75
2020-01-21,67
2020-01-22,64
2020-01-23,83
2020-01-24,73
2020-01-25,71
2020-01-26,64
2020-01-27,61
2020-01-28,72
2020-01-29,73
2020-01-30,73
2020-01-31,77
2020-02-01,67
2020-02-02,67
2020-02-03,59
2020-02-04,61
2020-02-05,84
2020-02-06,80
2020-02-07,60
2020-02-08,84
2020-02-09,80
2020-02-10,66
2020-02-11,76
2020-02-12,80
2020-02-13,83
2020-02-14,58
2020-02-15,86
2020-02-16,80
2020-02-17,74
2020-02-18,82
2020-02-19,73
2020-02-20,79
2020-02-21,54
2020-02-22,65
2020-02-23,82
2020-02-24,74
2020-02-25,72
2020-02-26,65
2020-02-27,69
2020-02-28,64
2020-02-29,62
2020-03-01,61
2020-03-02,71
2020-03-03,63
2020-03-04,60
2020-03-05,75
2020-03-06,68
2020-03-07,65
2020-03-08,61
2020-03-09,70
2020-03-10,65
2020-03-11,73
2020-03-12,78
2020-03-13,69
2020-03-14,73
2020-03-15,63
2020-03-16,79
2020-03-17,70
2020-03-18,60
2020-03-19,67
2020-03-20,71
2020-03-21,76
2020-03-22,68
2020-03-23,70
2020-03-24,74
2020-03-25,90
2020-03-26,100
2020-03-27,88
2020-03-28,87
2020-03-29,91
2020-03-30,87
2020-03-31,95
2020-04-01,63
2020-04-02,74
2020-04-03,73
2020-04-04,83
2020-04-05,85
2020-04-06,67
2020-04-07,78
2020-04-08,70
2020-04-09,78
2020-04-10,75
2020-04-11,79
2020-04-12,64
2020-04-13,67
2020-04-14,83
2020-04-15,75
2020-04-16,77
2020-04-17,58
2020-04-18,48
2020-04-19,73
2020-04-20,65
2020-04-21,74
2020-04-22,76
2020-04-23,66
2020-04-24,59
2020-04-25,59
2020-04-26,88
2020-04-27,72
2020-04-28,76
2020-04-29,69
2020-04-30,68
2020-05-01,79
2020-05-02,62
2020-05-03,75
2020-05-04,60
2020-05-05,58
2020-05-06,62
2020-05-07,57
2020-05-08,62
