Category: All categories

Day,Worry: (United States)
2019-09-12,51
2019-09-13,43
2019-09-14,54
2019-09-15,46
2019-09-16,51
2019-09-17,61
2019-09-18,55
2019-09-19,52
2019-09-20,43
2019-09-21,48
2019-09-22,48
2019-09-23,51
2019-09-24,58
2019-09-25,59
2019-09-26,54
2019-09-27,46
2019-09-28,46
2019-09-29,59
2019-09-30,58
2019-10-01,54
2019-10-02,48
2019-10-03,57
2019-10-04,57
2019-10-05,47
2019-10-06,54
2019-10-07,56
2019-10-08,58
2019-10-09,52
2019-10-10,59
2019-10-11,52
2019-10-12,43
2019-10-13,44
2019-10-14,53
2019-10-15,54
2019-10-16,48
2019-10-17,55
2019-10-18,57
2019-10-19,48
2019-10-20,53
2019-10-21,50
2019-10-22,56
2019-10-23,54
2019-10-24,46
2019-10-25,49
2019-10-26,42
2019-10-27,46
2019-10-28,53
2019-10-29,54
2019-10-30,61
2019-10-31,48
2019-11-01,48
2019-11-02,49
2019-11-03,47
2019-11-04,55
2019-11-05,57
2019-11-06,54
2019-11-07,49
2019-11-08,49
2019-11-09,53
2019-11-10,53
2019-11-11,50
2019-11-12,57
2019-11-13,51
2019-11-14,60
2019-11-15,51
2019-11-16,42
2019-11-17,56
2019-11-18,58
2019-11-19,63
2019-11-20,59
2019-11-21,54
2019-11-22,56
2019-11-23,50
2019-11-24,57
2019-11-25,50
2019-11-26,49
2019-11-27,47
2019-11-28,42
2019-11-29,36
2019-11-30,41
2019-12-01,52
2019-12-02,47
2019-12-03,51
2019-12-04,55
2019-12-05,50
2019-12-06,56
2019-12-07,47
2019-12-08,44
2019-12-09,51
2019-12-10,51
2019-12-11,53
2019-12-12,53
2019-12-13,60
2019-12-14,48
2019-12-15,49
2019-12-16,45
2019-12-17,51
2019-12-18,57
2019-12-19,46
2019-12-20,49
2019-12-21,52
2019-12-22,53
2019-12-23,47
2019-12-24,46
2019-12-25,40
2019-12-26,42
2019-12-27,40
2019-12-28,56
2019-12-29,53
2019-12-30,50
2019-12-31,52
2020-01-01,48
2020-01-02,56
2020-01-03,50
2020-01-04,55
2020-01-05,60
2020-01-06,47
2020-01-07,47
2020-01-08,59
2020-01-09,60
2020-01-10,49
2020-01-11,56
2020-01-12,50
2020-01-13,50
2020-01-14,55
2020-01-15,54
2020-01-16,63
2020-01-17,58
2020-01-18,53
2020-01-19,56
2020-01-20,49
2020-01-21,54
2020-01-22,53
2020-01-23,58
2020-01-24,57
2020-01-25,61
2020-01-26,47
2020-01-27,58
2020-01-28,56
2020-01-29,68
2020-01-30,67
2020-01-31,57
2020-02-01,54
2020-02-02,52
2020-02-03,50
2020-02-04,56
2020-02-05,52
2020-02-06,55
2020-02-07,61
2020-02-08,59
2020-02-09,55
2020-02-10,57
2020-02-11,57
2020-02-12,52
2020-02-13,60
2020-02-14,49
2020-02-15,60
2020-02-16,53
2020-02-17,62
2020-02-18,67
2020-02-19,64
2020-02-20,66
2020-02-21,67
2020-02-22,59
2020-02-23,59
2020-02-24,65
2020-02-25,59
2020-02-26,69
2020-02-27,67
2020-02-28,79
2020-02-29,69
2020-03-01,69
2020-03-02,70
2020-03-03,71
2020-03-04,79
2020-03-05,66
2020-03-06,70
2020-03-07,62
2020-03-08,60
2020-03-09,69
2020-03-10,76
2020-03-11,82
2020-03-12,100
2020-03-13,96
2020-03-14,89
2020-03-15,80
2020-03-16,93
2020-03-17,78
2020-03-18,95
2020-03-19,88
2020-03-20,88
2020-03-21,88
2020-03-22,89
2020-03-23,77
2020-03-24,85
2020-03-25,72
2020-03-26,74
2020-03-27,71
2020-03-28,69
2020-03-29,75
2020-03-30,71
2020-03-31,73
2020-04-01,82
2020-04-02,78
2020-04-03,70
2020-04-04,64
2020-04-05,70
2020-04-06,70
2020-04-07,66
2020-04-08,65
2020-04-09,72
2020-04-10,65
2020-04-11,64
2020-04-12,73
2020-04-13,82
2020-04-14,70
2020-04-15,64
2020-04-16,61
2020-04-17,74
2020-04-18,64
2020-04-19,64
2020-04-20,67
2020-04-21,70
2020-04-22,75
2020-04-23,70
2020-04-24,68
2020-04-25,60
2020-04-26,75
2020-04-27,68
2020-04-28,64
2020-04-29,62
2020-04-30,68
2020-05-01,62
2020-05-02,59
2020-05-03,63
2020-05-04,72
2020-05-05,60
2020-05-06,57
2020-05-07,64
2020-05-08,59
