Category: All categories

Day,overwhelming: (United States)
2019-09-12,52
2019-09-13,72
2019-09-14,46
2019-09-15,60
2019-09-16,47
2019-09-17,70
2019-09-18,78
2019-09-19,70
2019-09-20,41
2019-09-21,37
2019-09-22,72
2019-09-23,47
2019-09-24,55
2019-09-25,48
2019-09-26,63
2019-09-27,78
2019-09-28,64
2019-09-29,41
2019-09-30,80
2019-10-01,52
2019-10-02,75
2019-10-03,55
2019-10-04,68
2019-10-05,66
2019-10-06,41
2019-10-07,41
2019-10-08,84
2019-10-09,71
2019-10-10,70
2019-10-11,60
2019-10-12,46
2019-10-13,54
2019-10-14,52
2019-10-15,59
2019-10-16,73
2019-10-17,80
2019-10-18,28
2019-10-19,49
2019-10-20,48
2019-10-21,37
2019-10-22,66
2019-10-23,61
2019-10-24,75
2019-10-25,82
2019-10-26,26
2019-10-27,73
2019-10-28,80
2019-10-29,68
2019-10-30,61
2019-10-31,66
2019-11-01,44
2019-11-02,33
2019-11-03,52
2019-11-04,90
2019-11-05,68
2019-11-06,71
2019-11-07,71
2019-11-08,65
2019-11-09,44
2019-11-10,55
2019-11-11,76
2019-11-12,50
2019-11-13,44
2019-11-14,60
2019-11-15,81
2019-11-16,36
2019-11-17,59
2019-11-18,44
2019-11-19,68
2019-11-20,69
2019-11-21,72
2019-11-22,45
2019-11-23,44
2019-11-24,83
2019-11-25,63
2019-11-26,67
2019-11-27,55
2019-11-28,67
2019-11-29,19
2019-11-30,34
2019-12-01,38
2019-12-02,80
2019-12-03,63
2019-12-04,64
2019-12-05,98
2019-12-06,100
2019-12-07,60
2019-12-08,51
2019-12-09,72
2019-12-10,62
2019-12-11,44
2019-12-12,61
2019-12-13,58
2019-12-14,52
2019-12-15,40
2019-12-16,51
2019-12-17,58
2019-12-18,35
2019-12-19,49
2019-12-20,40
2019-12-21,38
2019-12-22,50
2019-12-23,31
2019-12-24,44
2019-12-25,42
2019-12-26,36
2019-12-27,45
2019-12-28,20
2019-12-29,51
2019-12-30,36
2019-12-31,54
2020-01-01,25
2020-01-02,47
2020-01-03,45
2020-01-04,15
2020-01-05,54
2020-01-06,37
2020-01-07,85
2020-01-08,34
2020-01-09,71
2020-01-10,44
2020-01-11,35
2020-01-12,68
2020-01-13,59
2020-01-14,50
2020-01-15,45
2020-01-16,49
2020-01-17,54
2020-01-18,46
2020-01-19,57
2020-01-20,63
2020-01-21,67
2020-01-22,50
2020-01-23,60
2020-01-24,73
2020-01-25,74
2020-01-26,57
2020-01-27,88
2020-01-28,56
2020-01-29,70
2020-01-30,88
2020-01-31,54
2020-02-01,43
2020-02-02,39
2020-02-03,63
2020-02-04,69
2020-02-05,43
2020-02-06,62
2020-02-07,64
2020-02-08,50
2020-02-09,54
2020-02-10,54
2020-02-11,85
2020-02-12,45
2020-02-13,53
2020-02-14,58
2020-02-15,38
2020-02-16,69
2020-02-17,83
2020-02-18,50
2020-02-19,64
2020-02-20,80
2020-02-21,42
2020-02-22,41
2020-02-23,78
2020-02-24,66
2020-02-25,53
2020-02-26,49
2020-02-27,60
2020-02-28,74
2020-02-29,55
2020-03-01,59
2020-03-02,47
2020-03-03,62
2020-03-04,64
2020-03-05,72
2020-03-06,74
2020-03-07,37
2020-03-08,33
2020-03-09,60
2020-03-10,75
2020-03-11,53
2020-03-12,73
2020-03-13,66
2020-03-14,67
2020-03-15,54
2020-03-16,59
2020-03-17,92
2020-03-18,50
2020-03-19,78
2020-03-20,73
2020-03-21,70
2020-03-22,81
2020-03-23,37
2020-03-24,61
2020-03-25,65
2020-03-26,66
2020-03-27,41
2020-03-28,41
2020-03-29,89
2020-03-30,88
2020-03-31,97
2020-04-01,77
2020-04-02,51
2020-04-03,93
2020-04-04,68
2020-04-05,54
2020-04-06,76
2020-04-07,75
2020-04-08,81
2020-04-09,77
2020-04-10,52
2020-04-11,58
2020-04-12,59
2020-04-13,77
2020-04-14,79
2020-04-15,73
2020-04-16,68
2020-04-17,77
2020-04-18,66
2020-04-19,53
2020-04-20,68
2020-04-21,64
2020-04-22,64
2020-04-23,85
2020-04-24,65
2020-04-25,46
2020-04-26,50
2020-04-27,61
2020-04-28,82
2020-04-29,78
2020-04-30,79
2020-05-01,100
2020-05-02,88
2020-05-03,56
2020-05-04,89
2020-05-05,93
2020-05-06,76
2020-05-07,68
2020-05-08,50
