Category: All categories

Day,sweat: (United States)
2019-09-12,85
2019-09-13,77
2019-09-14,78
2019-09-15,85
2019-09-16,75
2019-09-17,79
2019-09-18,77
2019-09-19,76
2019-09-20,78
2019-09-21,78
2019-09-22,78
2019-09-23,77
2019-09-24,88
2019-09-25,86
2019-09-26,77
2019-09-27,82
2019-09-28,78
2019-09-29,85
2019-09-30,77
2019-10-01,83
2019-10-02,83
2019-10-03,90
2019-10-04,69
2019-10-05,87
2019-10-06,82
2019-10-07,78
2019-10-08,74
2019-10-09,85
2019-10-10,76
2019-10-11,77
2019-10-12,81
2019-10-13,93
2019-10-14,77
2019-10-15,79
2019-10-16,81
2019-10-17,81
2019-10-18,83
2019-10-19,91
2019-10-20,90
2019-10-21,75
2019-10-22,80
2019-10-23,83
2019-10-24,75
2019-10-25,82
2019-10-26,85
2019-10-27,79
2019-10-28,79
2019-10-29,73
2019-10-30,72
2019-10-31,70
2019-11-01,69
2019-11-02,75
2019-11-03,76
2019-11-04,80
2019-11-05,78
2019-11-06,85
2019-11-07,83
2019-11-08,77
2019-11-09,84
2019-11-10,82
2019-11-11,83
2019-11-12,78
2019-11-13,74
2019-11-14,84
2019-11-15,73
2019-11-16,75
2019-11-17,84
2019-11-18,83
2019-11-19,87
2019-11-20,78
2019-11-21,78
2019-11-22,80
2019-11-23,86
2019-11-24,91
2019-11-25,80
2019-11-26,78
2019-11-27,74
2019-11-28,75
2019-11-29,83
2019-11-30,96
2019-12-01,94
2019-12-02,86
2019-12-03,84
2019-12-04,83
2019-12-05,91
2019-12-06,87
2019-12-07,87
2019-12-08,100
2019-12-09,78
2019-12-10,85
2019-12-11,81
2019-12-12,88
2019-12-13,79
2019-12-14,89
2019-12-15,82
2019-12-16,78
2019-12-17,84
2019-12-18,71
2019-12-19,75
2019-12-20,71
2019-12-21,84
2019-12-22,75
2019-12-23,73
2019-12-24,72
2019-12-25,87
2019-12-26,85
2019-12-27,74
2019-12-28,78
2019-12-29,85
2019-12-30,87
2019-12-31,78
2020-01-01,72
2020-01-02,81
2020-01-03,76
2020-01-04,83
2020-01-05,78
2020-01-06,75
2020-01-07,81
2020-01-08,73
2020-01-09,77
2020-01-10,76
2020-01-11,82
2020-01-12,85
2020-01-13,76
2020-01-14,76
2020-01-15,82
2020-01-16,85
2020-01-17,78
2020-01-18,78
2020-01-19,77
2020-01-20,75
2020-01-21,75
2020-01-22,77
2020-01-23,76
2020-01-24,75
2020-01-25,82
2020-01-26,78
2020-01-27,67
2020-01-28,71
2020-01-29,74
2020-01-30,73
2020-01-31,71
2020-02-01,82
2020-02-02,73
2020-02-03,71
2020-02-04,78
2020-02-05,77
2020-02-06,82
2020-02-07,75
2020-02-08,79
2020-02-09,81
2020-02-10,74
2020-02-11,72
2020-02-12,74
2020-02-13,78
2020-02-14,69
2020-02-15,84
2020-02-16,82
2020-02-17,87
2020-02-18,76
2020-02-19,82
2020-02-20,85
2020-02-21,80
2020-02-22,80
2020-02-23,90
2020-02-24,77
2020-02-25,84
2020-02-26,79
2020-02-27,79
2020-02-28,75
2020-02-29,83
2020-03-01,78
2020-03-02,82
2020-03-03,73
2020-03-04,82
2020-03-05,76
2020-03-06,70
2020-03-07,73
2020-03-08,77
2020-03-09,69
2020-03-10,69
2020-03-11,73
2020-03-12,71
2020-03-13,70
2020-03-14,66
2020-03-15,71
2020-03-16,57
2020-03-17,60
2020-03-18,59
2020-03-19,68
2020-03-20,54
2020-03-21,63
2020-03-22,62
2020-03-23,63
2020-03-24,65
2020-03-25,71
2020-03-26,70
2020-03-27,72
2020-03-28,81
2020-03-29,82
2020-03-30,68
2020-03-31,66
2020-04-01,70
2020-04-02,72
2020-04-03,72
2020-04-04,73
2020-04-05,75
2020-04-06,70
2020-04-07,73
2020-04-08,83
2020-04-09,80
2020-04-10,73
2020-04-11,84
2020-04-12,80
2020-04-13,77
2020-04-14,75
2020-04-15,76
2020-04-16,81
2020-04-17,76
2020-04-18,90
2020-04-19,88
2020-04-20,85
2020-04-21,83
2020-04-22,80
2020-04-23,75
2020-04-24,82
2020-04-25,86
2020-04-26,87
2020-04-27,84
2020-04-28,83
2020-04-29,87
2020-04-30,89
2020-05-01,85
2020-05-02,89
2020-05-03,99
2020-05-04,80
2020-05-05,86
2020-05-06,80
2020-05-07,75
2020-05-08,76
