Category: All categories

Day,stomach pain: (United States)
2019-09-12,72
2019-09-13,68
2019-09-14,80
2019-09-15,75
2019-09-16,79
2019-09-17,70
2019-09-18,73
2019-09-19,75
2019-09-20,72
2019-09-21,69
2019-09-22,81
2019-09-23,76
2019-09-24,75
2019-09-25,74
2019-09-26,70
2019-09-27,65
2019-09-28,79
2019-09-29,74
2019-09-30,81
2019-10-01,69
2019-10-02,74
2019-10-03,73
2019-10-04,72
2019-10-05,84
2019-10-06,74
2019-10-07,74
2019-10-08,77
2019-10-09,78
2019-10-10,68
2019-10-11,74
2019-10-12,73
2019-10-13,75
2019-10-14,76
2019-10-15,78
2019-10-16,77
2019-10-17,71
2019-10-18,73
2019-10-19,72
2019-10-20,77
2019-10-21,76
2019-10-22,83
2019-10-23,70
2019-10-24,66
2019-10-25,70
2019-10-26,72
2019-10-27,82
2019-10-28,77
2019-10-29,77
2019-10-30,68
2019-10-31,61
2019-11-01,65
2019-11-02,69
2019-11-03,70
2019-11-04,80
2019-11-05,78
2019-11-06,70
2019-11-07,59
2019-11-08,69
2019-11-09,70
2019-11-10,85
2019-11-11,77
2019-11-12,71
2019-11-13,80
2019-11-14,76
2019-11-15,71
2019-11-16,84
2019-11-17,74
2019-11-18,76
2019-11-19,80
2019-11-20,84
2019-11-21,77
2019-11-22,75
2019-11-23,78
2019-11-24,88
2019-11-25,79
2019-11-26,87
2019-11-27,84
2019-11-28,63
2019-11-29,68
2019-11-30,79
2019-12-01,81
2019-12-02,82
2019-12-03,73
2019-12-04,85
2019-12-05,75
2019-12-06,74
2019-12-07,79
2019-12-08,84
2019-12-09,76
2019-12-10,77
2019-12-11,77
2019-12-12,80
2019-12-13,75
2019-12-14,77
2019-12-15,94
2019-12-16,76
2019-12-17,83
2019-12-18,74
2019-12-19,71
2019-12-20,73
2019-12-21,74
2019-12-22,87
2019-12-23,85
2019-12-24,74
2019-12-25,76
2019-12-26,98
2019-12-27,94
2019-12-28,91
2019-12-29,83
2019-12-30,86
2019-12-31,93
2020-01-01,84
2020-01-02,90
2020-01-03,84
2020-01-04,91
2020-01-05,100
2020-01-06,93
2020-01-07,86
2020-01-08,79
2020-01-09,82
2020-01-10,70
2020-01-11,83
2020-01-12,89
2020-01-13,81
2020-01-14,80
2020-01-15,80
2020-01-16,75
2020-01-17,83
2020-01-18,84
2020-01-19,89
2020-01-20,76
2020-01-21,85
2020-01-22,72
2020-01-23,76
2020-01-24,77
2020-01-25,82
2020-01-26,77
2020-01-27,86
2020-01-28,79
2020-01-29,81
2020-01-30,77
2020-01-31,72
2020-02-01,72
2020-02-02,82
2020-02-03,80
2020-02-04,80
2020-02-05,79
2020-02-06,83
2020-02-07,71
2020-02-08,75
2020-02-09,80
2020-02-10,86
2020-02-11,76
2020-02-12,71
2020-02-13,81
2020-02-14,71
2020-02-15,79
2020-02-16,85
2020-02-17,86
2020-02-18,74
2020-02-19,84
2020-02-20,80
2020-02-21,68
2020-02-22,81
2020-02-23,73
2020-02-24,90
2020-02-25,79
2020-02-26,74
2020-02-27,74
2020-02-28,74
2020-02-29,82
2020-03-01,79
2020-03-02,77
2020-03-03,79
2020-03-04,73
2020-03-05,82
2020-03-06,73
2020-03-07,69
2020-03-08,77
2020-03-09,77
2020-03-10,80
2020-03-11,81
2020-03-12,73
2020-03-13,69
2020-03-14,74
2020-03-15,78
2020-03-16,72
2020-03-17,64
2020-03-18,66
2020-03-19,64
2020-03-20,79
2020-03-21,75
2020-03-22,83
2020-03-23,73
2020-03-24,76
2020-03-25,76
2020-03-26,76
2020-03-27,70
2020-03-28,80
2020-03-29,88
2020-03-30,74
2020-03-31,74
2020-04-01,68
2020-04-02,77
2020-04-03,73
2020-04-04,82
2020-04-05,81
2020-04-06,76
2020-04-07,71
2020-04-08,75
2020-04-09,72
2020-04-10,76
2020-04-11,72
2020-04-12,84
2020-04-13,78
2020-04-14,74
2020-04-15,71
2020-04-16,63
2020-04-17,76
2020-04-18,85
2020-04-19,88
2020-04-20,79
2020-04-21,76
2020-04-22,71
2020-04-23,67
2020-04-24,74
2020-04-25,70
2020-04-26,85
2020-04-27,78
2020-04-28,78
2020-04-29,68
2020-04-30,69
2020-05-01,73
2020-05-02,80
2020-05-03,75
2020-05-04,65
2020-05-05,70
2020-05-06,72
2020-05-07,76
2020-05-08,71
