Category: All categories

Day,back pain: (United States)
2019-09-12,77
2019-09-13,75
2019-09-14,74
2019-09-15,76
2019-09-16,85
2019-09-17,83
2019-09-18,81
2019-09-19,81
2019-09-20,73
2019-09-21,71
2019-09-22,83
2019-09-23,80
2019-09-24,85
2019-09-25,84
2019-09-26,75
2019-09-27,72
2019-09-28,85
2019-09-29,76
2019-09-30,91
2019-10-01,82
2019-10-02,83
2019-10-03,81
2019-10-04,72
2019-10-05,75
2019-10-06,82
2019-10-07,91
2019-10-08,85
2019-10-09,80
2019-10-10,78
2019-10-11,62
2019-10-12,74
2019-10-13,83
2019-10-14,84
2019-10-15,83
2019-10-16,85
2019-10-17,80
2019-10-18,76
2019-10-19,76
2019-10-20,82
2019-10-21,90
2019-10-22,77
2019-10-23,83
2019-10-24,79
2019-10-25,71
2019-10-26,70
2019-10-27,77
2019-10-28,81
2019-10-29,84
2019-10-30,79
2019-10-31,68
2019-11-01,68
2019-11-02,78
2019-11-03,82
2019-11-04,84
2019-11-05,84
2019-11-06,76
2019-11-07,82
2019-11-08,78
2019-11-09,74
2019-11-10,82
2019-11-11,81
2019-11-12,82
2019-11-13,79
2019-11-14,79
2019-11-15,69
2019-11-16,77
2019-11-17,78
2019-11-18,87
2019-11-19,85
2019-11-20,81
2019-11-21,76
2019-11-22,77
2019-11-23,76
2019-11-24,85
2019-11-25,89
2019-11-26,81
2019-11-27,77
2019-11-28,65
2019-11-29,71
2019-11-30,78
2019-12-01,82
2019-12-02,82
2019-12-03,83
2019-12-04,80
2019-12-05,75
2019-12-06,71
2019-12-07,70
2019-12-08,73
2019-12-09,80
2019-12-10,77
2019-12-11,76
2019-12-12,80
2019-12-13,69
2019-12-14,75
2019-12-15,76
2019-12-16,79
2019-12-17,80
2019-12-18,77
2019-12-19,69
2019-12-20,70
2019-12-21,75
2019-12-22,82
2019-12-23,83
2019-12-24,82
2019-12-25,73
2019-12-26,83
2019-12-27,91
2019-12-28,89
2019-12-29,93
2019-12-30,95
2019-12-31,89
2020-01-01,85
2020-01-02,100
2020-01-03,89
2020-01-04,88
2020-01-05,94
2020-01-06,84
2020-01-07,97
2020-01-08,87
2020-01-09,86
2020-01-10,82
2020-01-11,84
2020-01-12,85
2020-01-13,86
2020-01-14,87
2020-01-15,91
2020-01-16,81
2020-01-17,76
2020-01-18,86
2020-01-19,81
2020-01-20,92
2020-01-21,90
2020-01-22,88
2020-01-23,85
2020-01-24,78
2020-01-25,76
2020-01-26,79
2020-01-27,79
2020-01-28,85
2020-01-29,83
2020-01-30,83
2020-01-31,76
2020-02-01,77
2020-02-02,82
2020-02-03,80
2020-02-04,85
2020-02-05,79
2020-02-06,84
2020-02-07,75
2020-02-08,77
2020-02-09,82
2020-02-10,84
2020-02-11,79
2020-02-12,80
2020-02-13,81
2020-02-14,73
2020-02-15,76
2020-02-16,91
2020-02-17,86
2020-02-18,86
2020-02-19,88
2020-02-20,79
2020-02-21,77
2020-02-22,75
2020-02-23,81
2020-02-24,92
2020-02-25,90
2020-02-26,83
2020-02-27,81
2020-02-28,72
2020-02-29,74
2020-03-01,83
2020-03-02,78
2020-03-03,79
2020-03-04,71
2020-03-05,74
2020-03-06,77
2020-03-07,75
2020-03-08,80
2020-03-09,78
2020-03-10,79
2020-03-11,69
2020-03-12,62
2020-03-13,62
2020-03-14,61
2020-03-15,64
2020-03-16,65
2020-03-17,63
2020-03-18,66
2020-03-19,67
2020-03-20,61
2020-03-21,67
2020-03-22,83
2020-03-23,76
2020-03-24,81
2020-03-25,78
2020-03-26,75
2020-03-27,75
2020-03-28,79
2020-03-29,87
2020-03-30,79
2020-03-31,78
2020-04-01,74
2020-04-02,76
2020-04-03,72
2020-04-04,77
2020-04-05,83
2020-04-06,81
2020-04-07,81
2020-04-08,78
2020-04-09,75
2020-04-10,77
2020-04-11,81
2020-04-12,83
2020-04-13,82
2020-04-14,83
2020-04-15,81
2020-04-16,73
2020-04-17,68
2020-04-18,80
2020-04-19,85
2020-04-20,82
2020-04-21,79
2020-04-22,81
2020-04-23,76
2020-04-24,77
2020-04-25,79
2020-04-26,89
2020-04-27,79
2020-04-28,83
2020-04-29,78
2020-04-30,81
2020-05-01,75
2020-05-02,83
2020-05-03,88
2020-05-04,78
2020-05-05,77
2020-05-06,78
2020-05-07,72
2020-05-08,68
