Category: All categories

Day,Agitated: (United States)
2019-09-12,76
2019-09-13,36
2019-09-14,34
2019-09-15,46
2019-09-16,59
2019-09-17,23
2019-09-18,43
2019-09-19,44
2019-09-20,76
2019-09-21,33
2019-09-22,46
2019-09-23,54
2019-09-24,47
2019-09-25,48
2019-09-26,53
2019-09-27,53
2019-09-28,83
2019-09-29,52
2019-09-30,84
2019-10-01,76
2019-10-02,27
2019-10-03,68
2019-10-04,58
2019-10-05,24
2019-10-06,24
2019-10-07,52
2019-10-08,73
2019-10-09,86
2019-10-10,60
2019-10-11,41
2019-10-12,24
2019-10-13,38
2019-10-14,40
2019-10-15,28
2019-10-16,72
2019-10-17,60
2019-10-18,33
2019-10-19,24
2019-10-20,32
2019-10-21,62
2019-10-22,27
2019-10-23,63
2019-10-24,59
2019-10-25,70
2019-10-26,45
2019-10-27,52
2019-10-28,61
2019-10-29,63
2019-10-30,78
2019-10-31,36
2019-11-01,59
2019-11-02,43
2019-11-03,56
2019-11-04,36
2019-11-05,71
2019-11-06,43
2019-11-07,55
2019-11-08,75
2019-11-09,47
2019-11-10,41
2019-11-11,60
2019-11-12,69
2019-11-13,74
2019-11-14,54
2019-11-15,47
2019-11-16,32
2019-11-17,23
2019-11-18,43
2019-11-19,82
2019-11-20,64
2019-11-21,63
2019-11-22,48
2019-11-23,37
2019-11-24,64
2019-11-25,36
2019-11-26,53
2019-11-27,42
2019-11-28,27
2019-11-29,100
2019-11-30,31
2019-12-01,26
2019-12-02,59
2019-12-03,69
2019-12-04,47
2019-12-05,51
2019-12-06,48
2019-12-07,32
2019-12-08,45
2019-12-09,75
2019-12-10,56
2019-12-11,70
2019-12-12,51
2019-12-13,63
2019-12-14,70
2019-12-15,42
2019-12-16,67
2019-12-17,44
2019-12-18,32
2019-12-19,37
2019-12-20,55
2019-12-21,24
2019-12-22,44
2019-12-23,31
2019-12-24,33
2019-12-25,21
2019-12-26,28
2019-12-27,56
2019-12-28,23
2019-12-29,41
2019-12-30,38
2019-12-31,54
2020-01-01,29
2020-01-02,79
2020-01-03,32
2020-01-04,62
2020-01-05,44
2020-01-06,47
2020-01-07,79
2020-01-08,31
2020-01-09,35
2020-01-10,35
2020-01-11,18
2020-01-12,30
2020-01-13,32
2020-01-14,48
2020-01-15,37
2020-01-16,68
2020-01-17,27
2020-01-18,45
2020-01-19,35
2020-01-20,24
2020-01-21,73
2020-01-22,46
2020-01-23,54
2020-01-24,42
2020-01-25,63
2020-01-26,50
2020-01-27,51
2020-01-28,68
2020-01-29,69
2020-01-30,90
2020-01-31,47
2020-02-01,36
2020-02-02,40
2020-02-03,63
2020-02-04,61
2020-02-05,38
2020-02-06,49
2020-02-07,70
2020-02-08,44
2020-02-09,36
2020-02-10,70
2020-02-11,66
2020-02-12,78
2020-02-13,80
2020-02-14,47
2020-02-15,44
2020-02-16,27
2020-02-17,48
2020-02-18,69
2020-02-19,67
2020-02-20,52
2020-02-21,53
2020-02-22,47
2020-02-23,43
2020-02-24,58
2020-02-25,58
2020-02-26,64
2020-02-27,33
2020-02-28,45
2020-02-29,34
2020-03-01,26
2020-03-02,65
2020-03-03,46
2020-03-04,46
2020-03-05,51
2020-03-06,63
2020-03-07,26
2020-03-08,43
2020-03-09,55
2020-03-10,54
2020-03-11,47
2020-03-12,73
2020-03-13,58
2020-03-14,30
2020-03-15,38
2020-03-16,57
2020-03-17,39
2020-03-18,51
2020-03-19,44
2020-03-20,25
2020-03-21,24
2020-03-22,36
2020-03-23,27
2020-03-24,53
2020-03-25,64
2020-03-26,40
2020-03-27,61
2020-03-28,59
2020-03-29,39
2020-03-30,58
2020-03-31,61
2020-04-01,37
2020-04-02,48
2020-04-03,66
2020-04-04,31
2020-04-05,32
2020-04-06,61
2020-04-07,69
2020-04-08,28
2020-04-09,38
2020-04-10,29
2020-04-11,40
2020-04-12,40
2020-04-13,65
2020-04-14,74
2020-04-15,58
2020-04-16,46
2020-04-17,36
2020-04-18,34
2020-04-19,42
2020-04-20,46
2020-04-21,63
2020-04-22,67
2020-04-23,30
2020-04-24,39
2020-04-25,83
2020-04-26,42
2020-04-27,51
2020-04-28,44
2020-04-29,47
2020-04-30,32
2020-05-01,61
2020-05-02,67
2020-05-03,40
2020-05-04,50
2020-05-05,51
2020-05-06,50
2020-05-07,61
2020-05-08,44
