Category: All categories

Day,worst: (United States)
2019-09-12,68
2019-09-13,53
2019-09-14,58
2019-09-15,66
2019-09-16,65
2019-09-17,64
2019-09-18,59
2019-09-19,66
2019-09-20,61
2019-09-21,65
2019-09-22,65
2019-09-23,77
2019-09-24,66
2019-09-25,67
2019-09-26,58
2019-09-27,65
2019-09-28,62
2019-09-29,75
2019-09-30,62
2019-10-01,68
2019-10-02,62
2019-10-03,67
2019-10-04,61
2019-10-05,55
2019-10-06,76
2019-10-07,61
2019-10-08,68
2019-10-09,64
2019-10-10,60
2019-10-11,64
2019-10-12,62
2019-10-13,67
2019-10-14,71
2019-10-15,66
2019-10-16,54
2019-10-17,61
2019-10-18,60
2019-10-19,58
2019-10-20,72
2019-10-21,61
2019-10-22,69
2019-10-23,67
2019-10-24,53
2019-10-25,60
2019-10-26,60
2019-10-27,64
2019-10-28,72
2019-10-29,73
2019-10-30,57
2019-10-31,64
2019-11-01,64
2019-11-02,66
2019-11-03,70
2019-11-04,66
2019-11-05,66
2019-11-06,63
2019-11-07,67
2019-11-08,66
2019-11-09,62
2019-11-10,66
2019-11-11,62
2019-11-12,64
2019-11-13,71
2019-11-14,72
2019-11-15,66
2019-11-16,57
2019-11-17,66
2019-11-18,72
2019-11-19,68
2019-11-20,62
2019-11-21,64
2019-11-22,62
2019-11-23,62
2019-11-24,67
2019-11-25,66
2019-11-26,64
2019-11-27,63
2019-11-28,55
2019-11-29,52
2019-11-30,60
2019-12-01,69
2019-12-02,63
2019-12-03,72
2019-12-04,66
2019-12-05,67
2019-12-06,64
2019-12-07,53
2019-12-08,64
2019-12-09,65
2019-12-10,62
2019-12-11,69
2019-12-12,61
2019-12-13,57
2019-12-14,62
2019-12-15,67
2019-12-16,60
2019-12-17,63
2019-12-18,65
2019-12-19,65
2019-12-20,59
2019-12-21,72
2019-12-22,66
2019-12-23,58
2019-12-24,62
2019-12-25,66
2019-12-26,59
2019-12-27,67
2019-12-28,71
2019-12-29,73
2019-12-30,67
2019-12-31,77
2020-01-01,67
2020-01-02,69
2020-01-03,75
2020-01-04,68
2020-01-05,72
2020-01-06,88
2020-01-07,83
2020-01-08,74
2020-01-09,71
2020-01-10,65
2020-01-11,66
2020-01-12,68
2020-01-13,66
2020-01-14,69
2020-01-15,68
2020-01-16,64
2020-01-17,70
2020-01-18,60
2020-01-19,64
2020-01-20,75
2020-01-21,65
2020-01-22,69
2020-01-23,69
2020-01-24,69
2020-01-25,65
2020-01-26,71
2020-01-27,74
2020-01-28,73
2020-01-29,69
2020-01-30,72
2020-01-31,64
2020-02-01,66
2020-02-02,64
2020-02-03,84
2020-02-04,68
2020-02-05,70
2020-02-06,73
2020-02-07,65
2020-02-08,65
2020-02-09,66
2020-02-10,100
2020-02-11,78
2020-02-12,70
2020-02-13,75
2020-02-14,63
2020-02-15,59
2020-02-16,70
2020-02-17,74
2020-02-18,61
2020-02-19,64
2020-02-20,66
2020-02-21,62
2020-02-22,59
2020-02-23,65
2020-02-24,66
2020-02-25,76
2020-02-26,68
2020-02-27,70
2020-02-28,75
2020-02-29,65
2020-03-01,69
2020-03-02,70
2020-03-03,70
2020-03-04,67
2020-03-05,70
2020-03-06,69
2020-03-07,66
2020-03-08,73
2020-03-09,85
2020-03-10,76
2020-03-11,81
2020-03-12,82
2020-03-13,83
2020-03-14,78
2020-03-15,82
2020-03-16,75
2020-03-17,75
2020-03-18,80
2020-03-19,74
2020-03-20,70
2020-03-21,78
2020-03-22,78
2020-03-23,69
2020-03-24,67
2020-03-25,67
2020-03-26,72
2020-03-27,77
2020-03-28,71
2020-03-29,87
2020-03-30,72
2020-03-31,75
2020-04-01,78
2020-04-02,76
2020-04-03,66
2020-04-04,78
2020-04-05,77
2020-04-06,82
2020-04-07,73
2020-04-08,69
2020-04-09,72
2020-04-10,76
2020-04-11,68
2020-04-12,68
2020-04-13,76
2020-04-14,68
2020-04-15,75
2020-04-16,68
2020-04-17,66
2020-04-18,70
2020-04-19,71
2020-04-20,76
2020-04-21,70
2020-04-22,77
2020-04-23,71
2020-04-24,74
2020-04-25,64
2020-04-26,76
2020-04-27,74
2020-04-28,74
2020-04-29,70
2020-04-30,70
2020-05-01,66
2020-05-02,65
2020-05-03,74
2020-05-04,75
2020-05-05,69
2020-05-06,70
2020-05-07,66
2020-05-08,69
