Category: All categories

Day,anxious: (United States)
2019-09-12,78
2019-09-13,72
2019-09-14,52
2019-09-15,75
2019-09-16,90
2019-09-17,93
2019-09-18,69
2019-09-19,83
2019-09-20,78
2019-09-21,56
2019-09-22,80
2019-09-23,80
2019-09-24,74
2019-09-25,74
2019-09-26,73
2019-09-27,74
2019-09-28,61
2019-09-29,58
2019-09-30,73
2019-10-01,60
2019-10-02,88
2019-10-03,72
2019-10-04,68
2019-10-05,53
2019-10-06,48
2019-10-07,78
2019-10-08,63
2019-10-09,75
2019-10-10,65
2019-10-11,64
2019-10-12,61
2019-10-13,66
2019-10-14,78
2019-10-15,77
2019-10-16,73
2019-10-17,61
2019-10-18,57
2019-10-19,61
2019-10-20,60
2019-10-21,84
2019-10-22,86
2019-10-23,77
2019-10-24,78
2019-10-25,67
2019-10-26,53
2019-10-27,57
2019-10-28,87
2019-10-29,69
2019-10-30,80
2019-10-31,78
2019-11-01,67
2019-11-02,54
2019-11-03,62
2019-11-04,88
2019-11-05,73
2019-11-06,84
2019-11-07,86
2019-11-08,55
2019-11-09,39
2019-11-10,72
2019-11-11,77
2019-11-12,70
2019-11-13,65
2019-11-14,73
2019-11-15,52
2019-11-16,52
2019-11-17,67
2019-11-18,92
2019-11-19,90
2019-11-20,93
2019-11-21,70
2019-11-22,72
2019-11-23,61
2019-11-24,57
2019-11-25,72
2019-11-26,74
2019-11-27,76
2019-11-28,48
2019-11-29,36
2019-11-30,52
2019-12-01,68
2019-12-02,66
2019-12-03,63
2019-12-04,64
2019-12-05,67
2019-12-06,73
2019-12-07,53
2019-12-08,46
2019-12-09,81
2019-12-10,72
2019-12-11,70
2019-12-12,69
2019-12-13,59
2019-12-14,59
2019-12-15,62
2019-12-16,68
2019-12-17,64
2019-12-18,57
2019-12-19,67
2019-12-20,52
2019-12-21,63
2019-12-22,53
2019-12-23,59
2019-12-24,60
2019-12-25,43
2019-12-26,58
2019-12-27,51
2019-12-28,59
2019-12-29,63
2019-12-30,54
2019-12-31,64
2020-01-01,57
2020-01-02,68
2020-01-03,76
2020-01-04,62
2020-01-05,62
2020-01-06,74
2020-01-07,64
2020-01-08,75
2020-01-09,72
2020-01-10,63
2020-01-11,43
2020-01-12,53
2020-01-13,70
2020-01-14,80
2020-01-15,74
2020-01-16,77
2020-01-17,70
2020-01-18,49
2020-01-19,53
2020-01-20,60
2020-01-21,77
2020-01-22,70
2020-01-23,67
2020-01-24,85
2020-01-25,61
2020-01-26,51
2020-01-27,69
2020-01-28,77
2020-01-29,68
2020-01-30,80
2020-01-31,86
2020-02-01,65
2020-02-02,64
2020-02-03,76
2020-02-04,69
2020-02-05,98
2020-02-06,71
2020-02-07,71
2020-02-08,70
2020-02-09,63
2020-02-10,65
2020-02-11,70
2020-02-12,85
2020-02-13,87
2020-02-14,68
2020-02-15,67
2020-02-16,67
2020-02-17,76
2020-02-18,84
2020-02-19,76
2020-02-20,79
2020-02-21,72
2020-02-22,64
2020-02-23,50
2020-02-24,88
2020-02-25,87
2020-02-26,88
2020-02-27,81
2020-02-28,71
2020-02-29,73
2020-03-01,45
2020-03-02,81
2020-03-03,70
2020-03-04,72
2020-03-05,77
2020-03-06,80
2020-03-07,61
2020-03-08,64
2020-03-09,81
2020-03-10,63
2020-03-11,85
2020-03-12,70
2020-03-13,74
2020-03-14,81
2020-03-15,79
2020-03-16,77
2020-03-17,89
2020-03-18,76
2020-03-19,93
2020-03-20,87
2020-03-21,91
2020-03-22,93
2020-03-23,93
2020-03-24,100
2020-03-25,83
2020-03-26,92
2020-03-27,72
2020-03-28,85
2020-03-29,87
2020-03-30,73
2020-03-31,88
2020-04-01,83
2020-04-02,85
2020-04-03,89
2020-04-04,70
2020-04-05,68
2020-04-06,90
2020-04-07,65
2020-04-08,83
2020-04-09,77
2020-04-10,65
2020-04-11,80
2020-04-12,57
2020-04-13,81
2020-04-14,80
2020-04-15,63
2020-04-16,84
2020-04-17,83
2020-04-18,79
2020-04-19,75
2020-04-20,76
2020-04-21,95
2020-04-22,90
2020-04-23,82
2020-04-24,64
2020-04-25,72
2020-04-26,71
2020-04-27,92
2020-04-28,75
2020-04-29,95
2020-04-30,75
2020-05-01,88
2020-05-02,74
2020-05-03,78
2020-05-04,85
2020-05-05,82
2020-05-06,64
2020-05-07,87
2020-05-08,78
