Category: All categories

Day,nervous: (United States)
2019-09-12,86
2019-09-13,70
2019-09-14,60
2019-09-15,58
2019-09-16,88
2019-09-17,91
2019-09-18,86
2019-09-19,95
2019-09-20,74
2019-09-21,50
2019-09-22,62
2019-09-23,85
2019-09-24,96
2019-09-25,90
2019-09-26,86
2019-09-27,77
2019-09-28,46
2019-09-29,55
2019-09-30,87
2019-10-01,86
2019-10-02,85
2019-10-03,87
2019-10-04,77
2019-10-05,53
2019-10-06,54
2019-10-07,85
2019-10-08,94
2019-10-09,88
2019-10-10,87
2019-10-11,76
2019-10-12,45
2019-10-13,59
2019-10-14,77
2019-10-15,85
2019-10-16,87
2019-10-17,95
2019-10-18,81
2019-10-19,47
2019-10-20,55
2019-10-21,88
2019-10-22,93
2019-10-23,91
2019-10-24,84
2019-10-25,77
2019-10-26,44
2019-10-27,49
2019-10-28,86
2019-10-29,99
2019-10-30,82
2019-10-31,86
2019-11-01,72
2019-11-02,49
2019-11-03,54
2019-11-04,89
2019-11-05,88
2019-11-06,80
2019-11-07,93
2019-11-08,78
2019-11-09,51
2019-11-10,52
2019-11-11,78
2019-11-12,90
2019-11-13,83
2019-11-14,85
2019-11-15,83
2019-11-16,42
2019-11-17,57
2019-11-18,83
2019-11-19,96
2019-11-20,93
2019-11-21,85
2019-11-22,73
2019-11-23,35
2019-11-24,49
2019-11-25,73
2019-11-26,70
2019-11-27,46
2019-11-28,35
2019-11-29,36
2019-11-30,34
2019-12-01,48
2019-12-02,80
2019-12-03,85
2019-12-04,88
2019-12-05,92
2019-12-06,83
2019-12-07,53
2019-12-08,59
2019-12-09,88
2019-12-10,95
2019-12-11,86
2019-12-12,88
2019-12-13,77
2019-12-14,40
2019-12-15,49
2019-12-16,77
2019-12-17,70
2019-12-18,64
2019-12-19,64
2019-12-20,49
2019-12-21,33
2019-12-22,35
2019-12-23,30
2019-12-24,24
2019-12-25,26
2019-12-26,28
2019-12-27,36
2019-12-28,38
2019-12-29,32
2019-12-30,35
2019-12-31,41
2020-01-01,27
2020-01-02,31
2020-01-03,43
2020-01-04,42
2020-01-05,40
2020-01-06,54
2020-01-07,70
2020-01-08,69
2020-01-09,81
2020-01-10,77
2020-01-11,41
2020-01-12,42
2020-01-13,73
2020-01-14,73
2020-01-15,87
2020-01-16,83
2020-01-17,69
2020-01-18,42
2020-01-19,46
2020-01-20,50
2020-01-21,79
2020-01-22,81
2020-01-23,81
2020-01-24,66
2020-01-25,48
2020-01-26,44
2020-01-27,84
2020-01-28,95
2020-01-29,83
2020-01-30,95
2020-01-31,79
2020-02-01,54
2020-02-02,51
2020-02-03,80
2020-02-04,84
2020-02-05,93
2020-02-06,92
2020-02-07,76
2020-02-08,48
2020-02-09,68
2020-02-10,91
2020-02-11,100
2020-02-12,90
2020-02-13,100
2020-02-14,65
2020-02-15,42
2020-02-16,50
2020-02-17,67
2020-02-18,86
2020-02-19,86
2020-02-20,81
2020-02-21,81
2020-02-22,49
2020-02-23,59
2020-02-24,83
2020-02-25,91
2020-02-26,93
2020-02-27,88
2020-02-28,78
2020-02-29,43
2020-03-01,54
2020-03-02,85
2020-03-03,86
2020-03-04,81
2020-03-05,77
2020-03-06,75
2020-03-07,37
2020-03-08,54
2020-03-09,71
2020-03-10,76
2020-03-11,79
2020-03-12,69
2020-03-13,56
2020-03-14,39
2020-03-15,37
2020-03-16,47
2020-03-17,54
2020-03-18,61
2020-03-19,52
2020-03-20,50
2020-03-21,42
2020-03-22,42
2020-03-23,62
2020-03-24,65
2020-03-25,64
2020-03-26,63
2020-03-27,60
2020-03-28,41
2020-03-29,52
2020-03-30,72
2020-03-31,80
2020-04-01,74
2020-04-02,77
2020-04-03,72
2020-04-04,47
2020-04-05,45
2020-04-06,78
2020-04-07,82
2020-04-08,77
2020-04-09,78
2020-04-10,65
2020-04-11,53
2020-04-12,47
2020-04-13,76
2020-04-14,79
2020-04-15,84
2020-04-16,79
2020-04-17,77
2020-04-18,53
2020-04-19,56
2020-04-20,86
2020-04-21,87
2020-04-22,95
2020-04-23,88
2020-04-24,69
2020-04-25,55
2020-04-26,61
2020-04-27,89
2020-04-28,89
2020-04-29,85
2020-04-30,93
2020-05-01,80
2020-05-02,51
2020-05-03,48
2020-05-04,84
2020-05-05,87
2020-05-06,87
2020-05-07,89
2020-05-08,78
