opioids,isPartial,date
53,False,2019-08-11
52,False,2019-08-18
100,False,2019-08-25
72,False,2019-09-01
74,False,2019-09-08
73,False,2019-09-15
68,False,2019-09-22
74,False,2019-09-29
63,False,2019-10-06
79,False,2019-10-13
89,False,2019-10-20
80,False,2019-10-27
70,False,2019-11-03
70,False,2019-11-10
91,False,2019-11-17
60,False,2019-11-24
80,False,2019-12-01
77,False,2019-12-08
62,False,2019-12-15
48,False,2019-12-22
50,False,2019-12-29
61,False,2020-01-05
54,False,2020-01-12
63,False,2020-01-19
61,False,2020-01-26
70,False,2020-02-02
73,False,2020-02-09
67,False,2020-02-16
76,False,2020-02-23
65,False,2020-03-01
54,False,2020-03-08
44,False,2020-03-15
46,False,2020-03-22
52,False,2020-03-29
53,False,2020-04-05
47,False,2020-04-12
64,False,2020-04-19
50,False,2020-04-26
53,False,2020-05-03
53,False,2020-05-10
48,False,2020-05-17
49,False,2020-05-24
43,False,2020-05-31
44,False,2020-06-07
41,False,2020-06-14
41,False,2020-06-21
44,False,2020-06-28
41,False,2020-07-05
44,False,2020-07-12
42,False,2020-07-19
38,False,2020-07-26
37,True,2020-08-02
