opioid addiction,isPartial,date
36,False,2019-08-11
39,False,2019-08-18
58,False,2019-08-25
52,False,2019-09-01
48,False,2019-09-08
47,False,2019-09-15
55,False,2019-09-22
62,False,2019-09-29
76,False,2019-10-06
66,False,2019-10-13
73,False,2019-10-20
70,False,2019-10-27
74,False,2019-11-03
60,False,2019-11-10
75,False,2019-11-17
49,False,2019-11-24
63,False,2019-12-01
65,False,2019-12-08
53,False,2019-12-15
31,False,2019-12-22
40,False,2019-12-29
62,False,2020-01-05
52,False,2020-01-12
51,False,2020-01-19
55,False,2020-01-26
57,False,2020-02-02
53,False,2020-02-09
68,False,2020-02-16
66,False,2020-02-23
54,False,2020-03-01
49,False,2020-03-08
48,False,2020-03-15
48,False,2020-03-22
36,False,2020-03-29
50,False,2020-04-05
49,False,2020-04-12
53,False,2020-04-19
38,False,2020-04-26
36,False,2020-05-03
100,False,2020-05-10
51,False,2020-05-17
28,False,2020-05-24
34,False,2020-05-31
34,False,2020-06-07
40,False,2020-06-14
37,False,2020-06-21
25,False,2020-06-28
30,False,2020-07-05
39,False,2020-07-12
30,False,2020-07-19
29,False,2020-07-26
33,True,2020-08-02
