opioid deaths,isPartial,date
50,False,2019-08-11
39,False,2019-08-18
61,False,2019-08-25
65,False,2019-09-01
66,False,2019-09-08
59,False,2019-09-15
57,False,2019-09-22
89,False,2019-09-29
51,False,2019-10-06
43,False,2019-10-13
76,False,2019-10-20
84,False,2019-10-27
63,False,2019-11-03
53,False,2019-11-10
58,False,2019-11-17
47,False,2019-11-24
74,False,2019-12-01
53,False,2019-12-08
68,False,2019-12-15
26,False,2019-12-22
33,False,2019-12-29
49,False,2020-01-05
44,False,2020-01-12
33,False,2020-01-19
58,False,2020-01-26
64,False,2020-02-02
51,False,2020-02-09
62,False,2020-02-16
60,False,2020-02-23
68,False,2020-03-01
78,False,2020-03-08
53,False,2020-03-15
61,False,2020-03-22
100,False,2020-03-29
94,False,2020-04-05
72,False,2020-04-12
92,False,2020-04-19
70,False,2020-04-26
70,False,2020-05-03
70,False,2020-05-10
49,False,2020-05-17
42,False,2020-05-24
21,False,2020-05-31
30,False,2020-06-07
47,False,2020-06-14
33,False,2020-06-21
45,False,2020-06-28
40,False,2020-07-05
38,False,2020-07-12
54,False,2020-07-19
39,False,2020-07-26
93,True,2020-08-02
