opioid,isPartial,date
51,False,2019-08-11
54,False,2019-08-18
100,False,2019-08-25
63,False,2019-09-01
69,False,2019-09-08
65,False,2019-09-15
63,False,2019-09-22
65,False,2019-09-29
69,False,2019-10-06
71,False,2019-10-13
78,False,2019-10-20
59,False,2019-10-27
61,False,2019-11-03
61,False,2019-11-10
64,False,2019-11-17
54,False,2019-11-24
61,False,2019-12-01
58,False,2019-12-08
47,False,2019-12-15
35,False,2019-12-22
43,False,2019-12-29
49,False,2020-01-05
54,False,2020-01-12
53,False,2020-01-19
55,False,2020-01-26
61,False,2020-02-02
62,False,2020-02-09
64,False,2020-02-16
64,False,2020-02-23
57,False,2020-03-01
48,False,2020-03-08
40,False,2020-03-15
45,False,2020-03-22
44,False,2020-03-29
45,False,2020-04-05
44,False,2020-04-12
46,False,2020-04-19
43,False,2020-04-26
42,False,2020-05-03
46,False,2020-05-10
39,False,2020-05-17
36,False,2020-05-24
34,False,2020-05-31
37,False,2020-06-07
36,False,2020-06-14
39,False,2020-06-21
36,False,2020-06-28
35,False,2020-07-05
40,False,2020-07-12
38,False,2020-07-19
39,False,2020-07-26
30,True,2020-08-02
