opioid drugs,isPartial,date
43,False,2019-08-11
30,False,2019-08-18
80,False,2019-08-25
40,False,2019-09-01
62,False,2019-09-08
46,False,2019-09-15
59,False,2019-09-22
74,False,2019-09-29
68,False,2019-10-06
57,False,2019-10-13
100,False,2019-10-20
54,False,2019-10-27
69,False,2019-11-03
54,False,2019-11-10
74,False,2019-11-17
37,False,2019-11-24
63,False,2019-12-01
68,False,2019-12-08
40,False,2019-12-15
23,False,2019-12-22
39,False,2019-12-29
47,False,2020-01-05
48,False,2020-01-12
58,False,2020-01-19
36,False,2020-01-26
44,False,2020-02-02
64,False,2020-02-09
48,False,2020-02-16
88,False,2020-02-23
56,False,2020-03-01
54,False,2020-03-08
49,False,2020-03-15
33,False,2020-03-22
62,False,2020-03-29
42,False,2020-04-05
47,False,2020-04-12
65,False,2020-04-19
50,False,2020-04-26
64,False,2020-05-03
52,False,2020-05-10
45,False,2020-05-17
30,False,2020-05-24
31,False,2020-05-31
46,False,2020-06-07
32,False,2020-06-14
38,False,2020-06-21
26,False,2020-06-28
26,False,2020-07-05
58,False,2020-07-12
30,False,2020-07-19
30,False,2020-07-26
19,True,2020-08-02
