opioid use disorder,isPartial,date
58,False,2019-08-11
66,False,2019-08-18
76,False,2019-08-25
51,False,2019-09-01
81,False,2019-09-08
67,False,2019-09-15
68,False,2019-09-22
88,False,2019-09-29
85,False,2019-10-06
57,False,2019-10-13
64,False,2019-10-20
51,False,2019-10-27
80,False,2019-11-03
79,False,2019-11-10
78,False,2019-11-17
64,False,2019-11-24
81,False,2019-12-01
72,False,2019-12-08
62,False,2019-12-15
38,False,2019-12-22
38,False,2019-12-29
57,False,2020-01-05
47,False,2020-01-12
57,False,2020-01-19
56,False,2020-01-26
56,False,2020-02-02
66,False,2020-02-09
90,False,2020-02-16
59,False,2020-02-23
91,False,2020-03-01
56,False,2020-03-08
78,False,2020-03-15
76,False,2020-03-22
100,False,2020-03-29
51,False,2020-04-05
49,False,2020-04-12
68,False,2020-04-19
80,False,2020-04-26
68,False,2020-05-03
43,False,2020-05-10
58,False,2020-05-17
83,False,2020-05-24
60,False,2020-05-31
72,False,2020-06-07
66,False,2020-06-14
70,False,2020-06-21
40,False,2020-06-28
29,False,2020-07-05
79,False,2020-07-12
61,False,2020-07-19
86,False,2020-07-26
43,True,2020-08-02
