opioid withdrawal,isPartial,date
74,False,2019-08-11
82,False,2019-08-18
74,False,2019-08-25
70,False,2019-09-01
71,False,2019-09-08
86,False,2019-09-15
71,False,2019-09-22
59,False,2019-09-29
92,False,2019-10-06
90,False,2019-10-13
55,False,2019-10-20
61,False,2019-10-27
85,False,2019-11-03
74,False,2019-11-10
65,False,2019-11-17
84,False,2019-11-24
100,False,2019-12-01
70,False,2019-12-08
71,False,2019-12-15
80,False,2019-12-22
90,False,2019-12-29
52,False,2020-01-05
70,False,2020-01-12
69,False,2020-01-19
75,False,2020-01-26
69,False,2020-02-02
53,False,2020-02-09
83,False,2020-02-16
91,False,2020-02-23
82,False,2020-03-01
78,False,2020-03-08
82,False,2020-03-15
55,False,2020-03-22
56,False,2020-03-29
65,False,2020-04-05
63,False,2020-04-12
76,False,2020-04-19
76,False,2020-04-26
80,False,2020-05-03
61,False,2020-05-10
63,False,2020-05-17
61,False,2020-05-24
63,False,2020-05-31
87,False,2020-06-07
76,False,2020-06-14
93,False,2020-06-21
64,False,2020-06-28
95,False,2020-07-05
83,False,2020-07-12
75,False,2020-07-19
56,False,2020-07-26
69,True,2020-08-02
