morphine,isPartial,date
86,False,2019-08-11
82,False,2019-08-18
77,False,2019-08-25
86,False,2019-09-01
87,False,2019-09-08
95,False,2019-09-15
90,False,2019-09-22
89,False,2019-09-29
82,False,2019-10-06
96,False,2019-10-13
96,False,2019-10-20
92,False,2019-10-27
92,False,2019-11-03
92,False,2019-11-10
86,False,2019-11-17
79,False,2019-11-24
84,False,2019-12-01
83,False,2019-12-08
75,False,2019-12-15
72,False,2019-12-22
81,False,2019-12-29
83,False,2020-01-05
90,False,2020-01-12
89,False,2020-01-19
95,False,2020-01-26
89,False,2020-02-02
92,False,2020-02-09
96,False,2020-02-16
92,False,2020-02-23
100,False,2020-03-01
86,False,2020-03-08
62,False,2020-03-15
71,False,2020-03-22
72,False,2020-03-29
85,False,2020-04-05
78,False,2020-04-12
77,False,2020-04-19
83,False,2020-04-26
83,False,2020-05-03
76,False,2020-05-10
76,False,2020-05-17
80,False,2020-05-24
75,False,2020-05-31
81,False,2020-06-07
84,False,2020-06-14
75,False,2020-06-21
76,False,2020-06-28
72,False,2020-07-05
80,False,2020-07-12
82,False,2020-07-19
84,False,2020-07-26
86,True,2020-08-02
