the opioid crisis,isPartial,date
25,False,2019-08-11
32,False,2019-08-18
100,False,2019-08-25
28,False,2019-09-01
64,False,2019-09-08
55,False,2019-09-15
62,False,2019-09-22
55,False,2019-09-29
56,False,2019-10-06
74,False,2019-10-13
54,False,2019-10-20
73,False,2019-10-27
66,False,2019-11-03
62,False,2019-11-10
59,False,2019-11-17
36,False,2019-11-24
66,False,2019-12-01
61,False,2019-12-08
32,False,2019-12-15
10,False,2019-12-22
19,False,2019-12-29
25,False,2020-01-05
23,False,2020-01-12
20,False,2020-01-19
28,False,2020-01-26
65,False,2020-02-02
57,False,2020-02-09
41,False,2020-02-16
46,False,2020-02-23
39,False,2020-03-01
37,False,2020-03-08
35,False,2020-03-15
20,False,2020-03-22
33,False,2020-03-29
30,False,2020-04-05
17,False,2020-04-12
42,False,2020-04-19
27,False,2020-04-26
21,False,2020-05-03
20,False,2020-05-10
20,False,2020-05-17
22,False,2020-05-24
8,False,2020-05-31
26,False,2020-06-07
23,False,2020-06-14
10,False,2020-06-21
9,False,2020-06-28
9,False,2020-07-05
15,False,2020-07-12
11,False,2020-07-19
15,False,2020-07-26
15,True,2020-08-02
