hydrocodone,isPartial,date
98,False,2019-08-11
100,False,2019-08-18
91,False,2019-08-25
83,False,2019-09-01
95,False,2019-09-08
98,False,2019-09-15
87,False,2019-09-22
93,False,2019-09-29
92,False,2019-10-06
91,False,2019-10-13
90,False,2019-10-20
86,False,2019-10-27
85,False,2019-11-03
92,False,2019-11-10
96,False,2019-11-17
87,False,2019-11-24
86,False,2019-12-01
91,False,2019-12-08
94,False,2019-12-15
100,False,2019-12-22
96,False,2019-12-29
93,False,2020-01-05
97,False,2020-01-12
96,False,2020-01-19
84,False,2020-01-26
94,False,2020-02-02
95,False,2020-02-09
99,False,2020-02-16
94,False,2020-02-23
89,False,2020-03-01
90,False,2020-03-08
72,False,2020-03-15
70,False,2020-03-22
67,False,2020-03-29
72,False,2020-04-05
68,False,2020-04-12
70,False,2020-04-19
70,False,2020-04-26
73,False,2020-05-03
71,False,2020-05-10
82,False,2020-05-17
82,False,2020-05-24
83,False,2020-05-31
80,False,2020-06-07
81,False,2020-06-14
81,False,2020-06-21
86,False,2020-06-28
83,False,2020-07-05
81,False,2020-07-12
82,False,2020-07-19
89,False,2020-07-26
81,True,2020-08-02
