opioid medication,isPartial,date
45,False,2019-08-11
57,False,2019-08-18
52,False,2019-08-25
93,False,2019-09-01
70,False,2019-09-08
41,False,2019-09-15
62,False,2019-09-22
77,False,2019-09-29
95,False,2019-10-06
65,False,2019-10-13
73,False,2019-10-20
85,False,2019-10-27
84,False,2019-11-03
63,False,2019-11-10
70,False,2019-11-17
43,False,2019-11-24
65,False,2019-12-01
49,False,2019-12-08
44,False,2019-12-15
20,False,2019-12-22
43,False,2019-12-29
71,False,2020-01-05
49,False,2020-01-12
100,False,2020-01-19
95,False,2020-01-26
69,False,2020-02-02
53,False,2020-02-09
66,False,2020-02-16
67,False,2020-02-23
69,False,2020-03-01
45,False,2020-03-08
68,False,2020-03-15
82,False,2020-03-22
47,False,2020-03-29
74,False,2020-04-05
64,False,2020-04-12
54,False,2020-04-19
56,False,2020-04-26
57,False,2020-05-03
71,False,2020-05-10
41,False,2020-05-17
60,False,2020-05-24
53,False,2020-05-31
52,False,2020-06-07
59,False,2020-06-14
40,False,2020-06-21
30,False,2020-06-28
50,False,2020-07-05
47,False,2020-07-12
31,False,2020-07-19
70,False,2020-07-26
50,True,2020-08-02
