opioid effects,isPartial,date
33,False,2019-08-11
37,False,2019-08-18
48,False,2019-08-25
40,False,2019-09-01
48,False,2019-09-08
43,False,2019-09-15
51,False,2019-09-22
65,False,2019-09-29
65,False,2019-10-06
65,False,2019-10-13
70,False,2019-10-20
44,False,2019-10-27
55,False,2019-11-03
47,False,2019-11-10
100,False,2019-11-17
45,False,2019-11-24
42,False,2019-12-01
66,False,2019-12-08
37,False,2019-12-15
29,False,2019-12-22
31,False,2019-12-29
38,False,2020-01-05
40,False,2020-01-12
54,False,2020-01-19
52,False,2020-01-26
35,False,2020-02-02
74,False,2020-02-09
45,False,2020-02-16
51,False,2020-02-23
50,False,2020-03-01
35,False,2020-03-08
39,False,2020-03-15
48,False,2020-03-22
57,False,2020-03-29
56,False,2020-04-05
52,False,2020-04-12
52,False,2020-04-19
67,False,2020-04-26
52,False,2020-05-03
50,False,2020-05-10
44,False,2020-05-17
25,False,2020-05-24
32,False,2020-05-31
45,False,2020-06-07
44,False,2020-06-14
57,False,2020-06-21
52,False,2020-06-28
22,False,2020-07-05
37,False,2020-07-12
33,False,2020-07-19
37,False,2020-07-26
47,True,2020-08-02
