what is a opioid,isPartial,date
29,False,2019-08-11
38,False,2019-08-18
73,False,2019-08-25
53,False,2019-09-01
64,False,2019-09-08
64,False,2019-09-15
100,False,2019-09-22
88,False,2019-09-29
62,False,2019-10-06
79,False,2019-10-13
75,False,2019-10-20
85,False,2019-10-27
69,False,2019-11-03
82,False,2019-11-10
57,False,2019-11-17
57,False,2019-11-24
76,False,2019-12-01
92,False,2019-12-08
50,False,2019-12-15
39,False,2019-12-22
52,False,2019-12-29
37,False,2020-01-05
81,False,2020-01-12
60,False,2020-01-19
86,False,2020-01-26
99,False,2020-02-02
83,False,2020-02-09
93,False,2020-02-16
93,False,2020-02-23
82,False,2020-03-01
76,False,2020-03-08
52,False,2020-03-15
69,False,2020-03-22
99,False,2020-03-29
91,False,2020-04-05
95,False,2020-04-12
68,False,2020-04-19
92,False,2020-04-26
78,False,2020-05-03
83,False,2020-05-10
48,False,2020-05-17
60,False,2020-05-24
53,False,2020-05-31
77,False,2020-06-07
69,False,2020-06-14
59,False,2020-06-21
36,False,2020-06-28
68,False,2020-07-05
71,False,2020-07-12
47,False,2020-07-19
53,False,2020-07-26
45,True,2020-08-02
