drug,isPartial,date
93,False,2019-08-11
90,False,2019-08-18
92,False,2019-08-25
83,False,2019-09-01
92,False,2019-09-08
91,False,2019-09-15
94,False,2019-09-22
95,False,2019-09-29
94,False,2019-10-06
93,False,2019-10-13
99,False,2019-10-20
92,False,2019-10-27
98,False,2019-11-03
93,False,2019-11-10
97,False,2019-11-17
81,False,2019-11-24
89,False,2019-12-01
91,False,2019-12-08
84,False,2019-12-15
74,False,2019-12-22
81,False,2019-12-29
90,False,2020-01-05
93,False,2020-01-12
93,False,2020-01-19
94,False,2020-01-26
100,False,2020-02-02
96,False,2020-02-09
100,False,2020-02-16
99,False,2020-02-23
95,False,2020-03-01
88,False,2020-03-08
97,False,2020-03-15
94,False,2020-03-22
91,False,2020-03-29
92,False,2020-04-05
83,False,2020-04-12
82,False,2020-04-19
86,False,2020-04-26
80,False,2020-05-03
79,False,2020-05-10
81,False,2020-05-17
78,False,2020-05-24
75,False,2020-05-31
80,False,2020-06-07
82,False,2020-06-14
78,False,2020-06-21
79,False,2020-06-28
78,False,2020-07-05
79,False,2020-07-12
82,False,2020-07-19
84,False,2020-07-26
75,True,2020-08-02
