opioid abuse,isPartial,date
45,False,2019-08-11
29,False,2019-08-18
58,False,2019-08-25
36,False,2019-09-01
60,False,2019-09-08
74,False,2019-09-15
100,False,2019-09-22
81,False,2019-09-29
73,False,2019-10-06
64,False,2019-10-13
75,False,2019-10-20
62,False,2019-10-27
94,False,2019-11-03
60,False,2019-11-10
84,False,2019-11-17
58,False,2019-11-24
68,False,2019-12-01
87,False,2019-12-08
62,False,2019-12-15
28,False,2019-12-22
35,False,2019-12-29
54,False,2020-01-05
55,False,2020-01-12
56,False,2020-01-19
53,False,2020-01-26
51,False,2020-02-02
72,False,2020-02-09
76,False,2020-02-16
66,False,2020-02-23
73,False,2020-03-01
65,False,2020-03-08
59,False,2020-03-15
47,False,2020-03-22
56,False,2020-03-29
61,False,2020-04-05
59,False,2020-04-12
65,False,2020-04-19
41,False,2020-04-26
41,False,2020-05-03
36,False,2020-05-10
37,False,2020-05-17
42,False,2020-05-24
41,False,2020-05-31
40,False,2020-06-07
39,False,2020-06-14
55,False,2020-06-21
31,False,2020-06-28
25,False,2020-07-05
47,False,2020-07-12
43,False,2020-07-19
40,False,2020-07-26
42,True,2020-08-02
