opioid crisis,isPartial,date
35,False,2019-08-11
35,False,2019-08-18
100,False,2019-08-25
66,False,2019-09-01
70,False,2019-09-08
57,False,2019-09-15
64,False,2019-09-22
68,False,2019-09-29
65,False,2019-10-06
82,False,2019-10-13
79,False,2019-10-20
72,False,2019-10-27
86,False,2019-11-03
60,False,2019-11-10
79,False,2019-11-17
63,False,2019-11-24
75,False,2019-12-01
56,False,2019-12-08
54,False,2019-12-15
15,False,2019-12-22
31,False,2019-12-29
31,False,2020-01-05
43,False,2020-01-12
44,False,2020-01-19
46,False,2020-01-26
62,False,2020-02-02
69,False,2020-02-09
61,False,2020-02-16
61,False,2020-02-23
54,False,2020-03-01
40,False,2020-03-08
23,False,2020-03-15
33,False,2020-03-22
30,False,2020-03-29
32,False,2020-04-05
34,False,2020-04-12
43,False,2020-04-19
30,False,2020-04-26
24,False,2020-05-03
21,False,2020-05-10
19,False,2020-05-17
25,False,2020-05-24
17,False,2020-05-31
22,False,2020-06-07
21,False,2020-06-14
23,False,2020-06-21
19,False,2020-06-28
13,False,2020-07-05
23,False,2020-07-12
23,False,2020-07-19
14,False,2020-07-26
12,True,2020-08-02
