opioid use,isPartial,date
54,False,2019-08-11
59,False,2019-08-18
93,False,2019-08-25
76,False,2019-09-01
83,False,2019-09-08
84,False,2019-09-15
85,False,2019-09-22
76,False,2019-09-29
78,False,2019-10-06
80,False,2019-10-13
81,False,2019-10-20
71,False,2019-10-27
81,False,2019-11-03
66,False,2019-11-10
95,False,2019-11-17
62,False,2019-11-24
81,False,2019-12-01
68,False,2019-12-08
61,False,2019-12-15
34,False,2019-12-22
36,False,2019-12-29
66,False,2020-01-05
77,False,2020-01-12
72,False,2020-01-19
76,False,2020-01-26
77,False,2020-02-02
76,False,2020-02-09
88,False,2020-02-16
100,False,2020-02-23
82,False,2020-03-01
67,False,2020-03-08
63,False,2020-03-15
75,False,2020-03-22
71,False,2020-03-29
54,False,2020-04-05
63,False,2020-04-12
76,False,2020-04-19
76,False,2020-04-26
62,False,2020-05-03
63,False,2020-05-10
55,False,2020-05-17
62,False,2020-05-24
60,False,2020-05-31
64,False,2020-06-07
63,False,2020-06-14
46,False,2020-06-21
58,False,2020-06-28
41,False,2020-07-05
50,False,2020-07-12
52,False,2020-07-19
57,False,2020-07-26
81,True,2020-08-02
