oxycodone,isPartial,date
72,False,2019-08-11
75,False,2019-08-18
100,False,2019-08-25
82,False,2019-09-01
73,False,2019-09-08
77,False,2019-09-15
72,False,2019-09-22
79,False,2019-09-29
73,False,2019-10-06
73,False,2019-10-13
72,False,2019-10-20
72,False,2019-10-27
71,False,2019-11-03
77,False,2019-11-10
78,False,2019-11-17
70,False,2019-11-24
68,False,2019-12-01
70,False,2019-12-08
73,False,2019-12-15
72,False,2019-12-22
69,False,2019-12-29
72,False,2020-01-05
72,False,2020-01-12
83,False,2020-01-19
72,False,2020-01-26
79,False,2020-02-02
81,False,2020-02-09
83,False,2020-02-16
79,False,2020-02-23
69,False,2020-03-01
68,False,2020-03-08
57,False,2020-03-15
54,False,2020-03-22
53,False,2020-03-29
54,False,2020-04-05
52,False,2020-04-12
52,False,2020-04-19
53,False,2020-04-26
55,False,2020-05-03
57,False,2020-05-10
62,False,2020-05-17
60,False,2020-05-24
64,False,2020-05-31
65,False,2020-06-07
66,False,2020-06-14
72,False,2020-06-21
67,False,2020-06-28
64,False,2020-07-05
64,False,2020-07-12
68,False,2020-07-19
68,False,2020-07-26
62,True,2020-08-02
